"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2274,126,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4347,126,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4902,126,1030,2,1
4,"EssenceBloodworm",4214,126,"",1,""
5,"Essence Elemental Swarm 1st stage",389,126,107,4,1
6,"Essence Elemental Swarm 2nd stage",390,126,107,2,1
7,"Essence Elemental Swarm 3rd stage",391,126,107,2,1
8,"Essence Rock Golem",4467,126,"",1,1
9,"Essence Explosive Insect",1525,126,"",1,1
10,"Volatile Flameblood",4929,126,"",1,1
11,"Obsidian Golem",4149,126,"",1,1
12,"TormentedBetrayerBeacon",7242,126,"",1,""
13,"BlightDaemonFire",7556,126,107,1,""
14,"BlightDaemonCold",7558,126,109,1,""
15,"BlightDaemonLightning",7560,126,440,1,""
16,"BlightDaemonPhysical",7562,126,515,1,""
17,"BlightDaemonChaos",7564,126,1045,1,""
