"rownum","Id","Monster","Tier","Description","[rid]","i32","[i32]","[i32]","i32","SeedAnimation","i32","HatchAnimation","SeedType"
0,"DropBearT1Red",7917,1,"<white>{Reveals} a random <craftingcaster>{Caster} modifier crafting effect when Harvested","[11,12,13,14,15,16,17,18,19,20,21]",2,"[110,150,175]",[7020],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
1,"HellionT1Red",7919,1,"<white>{Reveals} a random <craftingphysical>{Physical} modifier crafting effect when Harvested","[22,23,24,25,26,27,28,29,30,31,32]",1,"[110,150,175]",[7021],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
2,"WolfT1Red",7922,1,"<white>{Reveals} a random <white>{Socket colour} crafting effect when Harvested","[0,1,2,3,4,5,6,7,8,9,10]",2,"[110,150,175]",[7022],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
3,"MonkeyT1Red",7924,1,"<white>{Reveals} a random <craftingfire>{Fire} modifier crafting effect when Harvested","[33,34,35,36,37,38,39,40,41,42,43]",2,"[110,150,175]",[7023],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
4,"InsectT1Red",7926,1,"<white>{Reveals} a random <white>{Currency} crafting effect with improved outcome chances when Harvested","[141,142,143,144,145,146,147,148]",2,"[110,150,175]",[7024],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
5,"BeastT2Red",7928,2,"<white>{Reveals} a random crafting effect that <white>{changes} the element of <white>{Elemental Resistance} modifiers when Harvested","[52,53,54,55,56,57]",1,"[110,150,175]",[7055],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
6,"HoundT2Red",7930,2,"<white>{Reveals} a <white>{currency} item exchange, trading three of a certain type of <white>{currency} for other <white>{currency} items when Harvested","[270,271,272,273,274,275,276,277,278,279,280,281,282,283]",1,"[110,150,175]",[7056],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
7,"MinerHammerT2Red",7932,2,"<white>{Reveals} a random effect that <white>{exchanges Fossils, Essences, Delirium Orbs, Oils or Catalysts} when Harvested","[306,307,308,309,310]",1,"[110,150,175]",[7057],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
8,"ChieftainT2Red",7934,2,"Allows you to <white>{Sacrifice} a <white>{Map} to influence Kirac's crafting options when Harvested","[171,172,173,174,175,176,177,178]",1,"[110,150,175]",[7058],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
9,"SpikerT2Red",7936,2,"<white>{Reveals} a random crafting effect that <white>{reforges} a Rare item a certain way when Harvested","[58,59,60,61]",1,"[110,150,175]",[7059],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
10,"BeastT3Red",7938,3,"Allows you to <white>{sacrifice} a <white>{Map} to gain additional Atlas missions when Harvested","[300,301,302,303,304,305]",1,"[110,150,175]",[7119],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
11,"HellionT3Red",7940,3,"Allows you to <white>{sacrifice} a <white>{Weapon or Armour} to create Jewellery or Jewels when Harvested","[296,297,298,299]",1,"[110,150,175]",[7120],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",47,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
12,"BirddogT3Red",7942,3,"Allows you to <white>{Sacrifice} a <white>{Map} to create items for the Atlas when Harvested","[284,285,286,287,288,289,290,291,292]",1,"[110,150,175]",[7121],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
13,"BrambleHulkT3Red",7944,3,"<white>{Reveals} a random <enchanted>{Weapon Enchantment} that replaces Quality's effect when Harvested","[179,180,181,182,183,184]",1,"[110,150,175]",[7122],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
14,"InsectSpawnerT3Red",7946,3,"Causes other seeds to offer an <white>{additional crafting outcome}.",[],1,"[110,150,175]",[7123],1,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
15,"BearBoss",8011,4,"<white>{Reveal} a random crafting effect that <white>{locks a random modifier} on an item when Harvested","[293,294,295]",1,"[110,280,375]",[],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_hatch.ao",1
16,"MeleeSpiderT1Green",7949,1,"<white>{Reveals} a random <craftingattack>{Attack} modifier crafting effect when Harvested","[108,109,110,111,112,113,114,115,116,117,118]",1,"[130,140,150]",[7025],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
17,"WetaT1Green",7951,1,"<white>{Reveals} a random <craftinglife>{Life} modifier crafting effect when Harvested","[130,131,132,133,134,135,136,137,138,139,140]",2,"[130,140,150]",[7026],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
18,"ParasiteT1Green",7954,1,"<white>{Reveals} a random <white>{Socket number} crafting effect when Harvested","[104,105,106,107]",2,"[130,140,150]",[7027],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
19,"ScorpionT1Green",7956,1,"<white>{Reveals} a random <craftingcold>{Cold} modifier crafting effect when Harvested","[119,120,121,122,123,124,125,126,127,128,129]",1,"[130,140,150]",[7028],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
20,"ThornSpiderT1Green",7958,1,"<white>{Reveals} a random <craftingspeed>{Speed} modifier crafting effect when Harvested","[62,63,64,65,66,67,68,69,70,71,72]",1,"[130,140,150]",[7029],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
21,"SabreSpiderT2Green",7960,2,"<white>{Reveals} a random <white>{Gem} crafting effect when Harvested","[243,244,245,246,247,248,249,250,251,252]",1,"[130,140,150]",[7060],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
22,"HuhuGrubT2Green",7962,2,"Allows you to <white>{change} a <white>{Map} into other Maps when Harvested","[153,154,155]",2,"[130,140,150]",[7061],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
23,"ParasiteT2Green",7964,2,"Allows you to <white>{add} an <white>{Implicit modifier} to certain Jewel types when Harvested","[202,203,204]",2,"[130,140,150]",[7062],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
24,"ScorpionT2Green",7966,2,"<white>{Reveals} a random <enchanted>{Flask Enchantment} that depletes as it is used when Harvested","[149,150,151,152]",1,"[130,140,150]",[7063],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
25,"PlagueSpiderT2Green",7968,2,"<white>{Reveals} a random <enchanted>{Map Enchantment} when Harvested","[156,157,158,159]",1,"[130,140,150]",[7064],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
26,"BlackstriderT3Green",7971,3,"<white>{Reveals} a <white>{currency} item exchange, trading ten of a certain type of <white>{currency} for other <white>{currency} items when Harvested","[256,257,258,259,260,261,262,263,264,265,266,267,268,269]",1,"[130,140,150]",[7124],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
27,"SquidT3Green",7973,3,"Allows you to <white>{enhance} specialised <white>{Currency} a certain way when Harvested","[73,74,75,76]",1,"[130,140,150]",[7125],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
28,"VultureParasiteT3Green",7975,3,"Allows you to <white>{modify} a <white>{Scarab} a certain way when Harvested","[91,92,93]",1,"[130,140,150]",[7126],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
29,"PlatedScorpionT3Green",7978,3,"Allows you to <white>{upgrade} an <white>{Offering to the Goddess} when Harvested","[311,312,313]",1,"[130,140,150]",[7127],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
30,"DevourerT3Green",7980,3,"<white>{Adds} 10 random Wild and Primal harvest outcomes.",[],1,"[130,140,150]",[7128],2,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
31,"CatBoss",8028,4,"Allows you to give an item a <white>{Synthesised implicit modifier} when Harvested",[205],1,"[130,260,300]",[],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/boss/scale_boss_03.ao",100,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/boss/scale_boss_hatch.ao",2
32,"RhoaT1Blue",7981,1,"<white>{Reveals} a random <craftingdefences>{Defence} modifier crafting effect when Harvested","[210,211,212,213,214,215,216,217,218,219,220]",1,"[130,150,220]",[7030],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
33,"SandspitterT1Blue",7983,1,"<white>{Reveals} a random <craftinglightning>{Lightning} modifier crafting effect when Harvested","[221,222,223,224,225,226,227,228,229,230,231]",2,"[130,150,220]",[7031],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
34,"RegurgitatorT1Blue",7985,1,"<white>{Reveals} a random <white>{Socket link} crafting effect when Harvested","[206,207,208,209]",1,"[130,150,220]",[7032],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
35,"FrogT1Blue",7988,1,"<white>{Reveals} a random <craftingchaos>{Chaos} modifier crafting effect when Harvested","[232,233,234,235,236,237,238,239,240,241,242]",1,"[130,150,220]",[7033],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
36,"AntT1Blue",7990,1,"<white>{Reveals} a random <unique>{Unique} Item transformation effect when Harvested","[44,45,46,47,48,49,50,51]",2,"[130,150,220]",[7034],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3
37,"RhexT2Blue",7992,2,"Allows you to <white>{sacrifice Divination Cards} to create Divination Cards when Harvested","[253,254,255]",2,"[130,150,220]",[7065],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
38,"ShieldcrabT2Blue",7994,2,"Allows you to <white>{exchange} certain <white>{Map Fragments} for another of the same type when Harvested","[195,196,197,198]",1,"[130,150,220]",[7066],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
39,"DevourerSnakeT2Blue",7996,2,"<white>{Reveals} a random <craftingcrit>{Critical} modifier crafting effect when Harvested","[160,161,162,163,164,165,166,167,168,169,170]",1,"[130,150,220]",[7067],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",66,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
40,"IguanaT2Blue",7997,2,"<white>{Reveals} a random crafting effect that <white>{upgrades} a Normal or Magic item's Rarity when Harvested","[77,78,79,80,81,82,83,84]",1,"[130,150,220]",[7068],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
41,"SandLeaperT2Blue",7999,2,"Allows you to <white>{modify} an item, resulting in <white>{Lucky} modifier values when Harvested","[85,86,89,90,87,88]",2,"[130,150,220]",[7069],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3
42,"RhexT3Blue",8001,3,"Allows you to <white>{exchange Splinters, Breachstones or Emblems} for others of the same type when Harvested","[200,201]",1,"[130,150,220]",[7129],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
43,"NessaCrabT3Blue",8003,3,"Allows you to <white>{exchange} a <white>{Unique, Bestiary or Harbinger} item for a related item when Harvested","[193,194]",1,"[130,150,220]",[7130],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",82,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
44,"KitavaDemonT3Blue",8005,3,"Allows you to <white>{randomise} the <white>{Atlas Influence} types on an Influenced item when Harvested","[94,95,96]",1,"[130,150,220]",[7131],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",82,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3
