"rownum","BaseItemTypesKey","ItemCurrentLevel","Experience"
0,5400,1,0
1,5400,2,70
2,5400,3,378
3,5400,4,1932
4,5400,5,8599
5,5400,6,34646
6,5400,7,84371
7,5400,8,180085
8,5400,9,349680
9,5400,10,633439
10,5400,11,1087435
11,5400,12,1790563
12,5400,13,2851786
13,5400,14,4917656
14,5400,15,7424766
15,5400,16,13223702
16,5400,17,28307621
17,5400,18,56100356
18,5400,19,99970095
19,5400,20,342051651
20,5401,1,0
21,5401,2,15249
22,5401,3,56766
23,5401,4,138749
24,5401,5,286717
25,5401,6,537274
26,5401,7,942360
27,5401,8,1390078
28,5401,9,2005396
29,5401,10,2840035
30,5401,11,4410795
31,5401,12,6044782
32,5401,13,8195812
33,5401,14,11008001
34,5401,15,16107361
35,5401,16,25508092
36,5401,17,40781458
37,5401,18,67068040
38,5401,19,129958630
39,5401,20,342004647
40,5402,1,0
41,5402,2,9569
42,5402,3,37758
43,5402,4,96904
44,5402,5,208096
45,5402,6,401896
46,5402,7,722176
47,5402,8,1081266
48,5402,9,1579774
49,5402,10,2261831
50,5402,11,3183608
51,5402,12,4911487
52,5402,13,6703256
53,5402,14,9056935
54,5402,15,12127847
55,5402,16,21223313
56,5402,17,37263203
57,5402,18,67080320
58,5402,19,129975376
59,5402,20,342026975
60,5405,1,0
61,5405,2,15249
62,5405,3,56766
63,5405,4,138749
64,5405,5,286717
65,5405,6,537274
66,5405,7,942360
67,5405,8,1390078
68,5405,9,2005396
69,5405,10,2840035
70,5405,11,4410795
71,5405,12,6044782
72,5405,13,8195812
73,5405,14,11008001
74,5405,15,16107361
75,5405,16,25508092
76,5405,17,40781458
77,5405,18,67068040
78,5405,19,129958630
79,5405,20,342004647
80,5407,1,0
81,5407,2,70
82,5407,3,378
83,5407,4,1932
84,5407,5,8599
85,5407,6,34646
86,5407,7,84371
87,5407,8,180085
88,5407,9,349680
89,5407,10,633439
90,5407,11,1087435
91,5407,12,1790563
92,5407,13,2851786
93,5407,14,4917656
94,5407,15,7424766
95,5407,16,13223702
96,5407,17,28307621
97,5407,18,56100356
98,5407,19,99970095
99,5407,20,342051651
100,5408,1,0
101,5408,2,70
102,5408,3,378
103,5408,4,1932
104,5408,5,8599
105,5408,6,34646
106,5408,7,84371
107,5408,8,180085
108,5408,9,349680
109,5408,10,633439
110,5408,11,1087435
111,5408,12,1790563
112,5408,13,2851786
113,5408,14,4917656
114,5408,15,7424766
115,5408,16,13223702
116,5408,17,28307621
117,5408,18,56100356
118,5408,19,99970095
119,5408,20,342051651
120,5409,1,0
121,5409,2,9569
122,5409,3,37758
123,5409,4,96904
124,5409,5,208096
125,5409,6,401896
126,5409,7,722176
127,5409,8,1081266
128,5409,9,1579774
129,5409,10,2261831
130,5409,11,3183608
131,5409,12,4911487
132,5409,13,6703256
133,5409,14,9056935
134,5409,15,12127847
135,5409,16,21223313
136,5409,17,37263203
137,5409,18,67080320
138,5409,19,129975376
139,5409,20,342026975
140,5410,1,0
141,5410,2,9569
142,5410,3,37758
143,5410,4,96904
144,5410,5,208096
145,5410,6,401896
146,5410,7,722176
147,5410,8,1081266
148,5410,9,1579774
149,5410,10,2261831
150,5410,11,3183608
151,5410,12,4911487
152,5410,13,6703256
153,5410,14,9056935
154,5410,15,12127847
155,5410,16,21223313
156,5410,17,37263203
157,5410,18,67080320
158,5410,19,129975376
159,5410,20,342026975
160,5411,1,0
161,5411,2,70
162,5411,3,378
163,5411,4,1932
164,5411,5,8599
165,5411,6,34646
166,5411,7,84371
167,5411,8,180085
168,5411,9,349680
169,5411,10,633439
170,5411,11,1087435
171,5411,12,1790563
172,5411,13,2851786
173,5411,14,4917656
174,5411,15,7424766
175,5411,16,13223702
176,5411,17,28307621
177,5411,18,56100356
178,5411,19,99970095
179,5411,20,342051651
180,5413,1,0
181,5413,2,15249
182,5413,3,56766
183,5413,4,138749
184,5413,5,286717
185,5413,6,537274
186,5413,7,942360
187,5413,8,1390078
188,5413,9,2005396
189,5413,10,2840035
190,5413,11,4410795
191,5413,12,6044782
192,5413,13,8195812
193,5413,14,11008001
194,5413,15,16107361
195,5413,16,25508092
196,5413,17,40781458
197,5413,18,67068040
198,5413,19,129958630
199,5413,20,342004647
200,5414,1,0
201,5414,2,252595
202,5414,3,566989
203,5414,4,955723
204,5414,5,1433160
205,5414,6,2016946
206,5414,7,2727305
207,5414,8,4082816
208,5414,9,5221693
209,5414,10,6589926
210,5414,11,8228264
211,5414,12,10184912
212,5414,13,13840096
213,5414,14,16857423
214,5414,15,20433655
215,5414,16,29598386
216,5414,17,47459814
217,5414,18,93492200
218,5414,19,180740239
219,5414,20,338712291
220,5415,1,0
221,5415,2,70
222,5415,3,378
223,5415,4,1932
224,5415,5,8599
225,5415,6,34646
226,5415,7,84371
227,5415,8,180085
228,5415,9,349680
229,5415,10,633439
230,5415,11,1087435
231,5415,12,1790563
232,5415,13,2851786
233,5415,14,4917656
234,5415,15,7424766
235,5415,16,13223702
236,5415,17,28307621
237,5415,18,56100356
238,5415,19,99970095
239,5415,20,342051651
240,5416,1,0
241,5416,2,9569
242,5416,3,37758
243,5416,4,96904
244,5416,5,208096
245,5416,6,401896
246,5416,7,722176
247,5416,8,1081266
248,5416,9,1579774
249,5416,10,2261831
250,5416,11,3183608
251,5416,12,4911487
252,5416,13,6703256
253,5416,14,9056935
254,5416,15,12127847
255,5416,16,21223313
256,5416,17,37263203
257,5416,18,67080320
258,5416,19,129975376
259,5416,20,342026975
260,5417,1,0
261,5417,2,49725
262,5417,3,145439
263,5417,4,315034
264,5417,5,514379
265,5417,6,800194
266,5417,7,1201538
267,5417,8,1755917
268,5417,9,2510966
269,5417,10,3527499
270,5417,11,5426101
271,5417,12,7390120
272,5417,13,9963851
273,5417,14,14640290
274,5417,15,17657617
275,5417,16,25480618
276,5417,17,40744826
277,5417,18,67017671
278,5417,19,129889945
279,5417,20,341913067
280,5420,1,0
281,5420,2,841
282,5420,3,3940
283,5420,4,11373
284,5420,5,34268
285,5420,6,83993
286,5420,7,179707
287,5420,8,349302
288,5420,9,633061
289,5420,10,1087057
290,5420,11,1790185
291,5420,12,2851408
292,5420,13,4917278
293,5420,14,7424388
294,5420,15,9998119
295,5420,16,17609470
296,5420,17,31047378
297,5420,18,56099525
298,5420,19,99968961
299,5420,20,342050139
