"rownum","Id","Order","Width","Height","i32","i32","Name","i32","Image","i32","IsDisabled"
0,"Flask",1,1,2,38,2,"Flask",33,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",33,""
1,"Amulet",2,1,1,104,1,"Amulet",77,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",74,""
2,"Ring",3,1,1,119,1,"Ring",92,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",90,""
3,"Claw",4,2,2,44,2,"Claw",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",21,""
4,"Dagger",5,1,3,25,3,"Dagger",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",6,1,3,26,3,"Wand",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",22,""
6,"Sword",7,2,3,128,3,"Sword",56,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",56,""
7,"Axe",8,2,4,66,4,"Axe",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",29,""
8,"Mace",9,2,4,114,4,"Mace",52,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",50,""
9,"Bow",10,2,4,68,4,"Bow",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",30,""
10,"Staff",11,2,4,88,4,"Staff",38,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",36,""
11,"Quiver",12,2,3,50,3,"Quiver",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",22,""
12,"Belt",13,2,1,128,1,"Belt",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",53,""
13,"Gloves",14,2,2,168,2,"Gloves",77,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",77,""
14,"Boots",15,2,2,164,2,"Boots",71,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",68,""
15,"Body Armour",16,2,3,198,3,"Body Armour",93,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",89,""
16,"Helmet",17,2,2,232,2,"Helmet",102,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",99,""
17,"Shield",18,2,4,156,4,"Shield",70,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",68,""
18,"Map",19,1,1,31,1,"Map",30,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",30,""
19,"Jewel",20,1,1,172,1,"Jewel",157,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",157,""
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
