"rownum","Id","PanelImage","HeaderImage","Screenshots","Description","League","bool","TrailerVideoLink","BackgroundImage","bool","bool","PanelItems"
0,"Delve1","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading1",[],"In Path of Exile: Delve, you will delve into the Azurite Mine's infinite depths to extract treasure and discover its subterranean secrets.\nOur latest expansion features an infinite dungeon and socketable currency items, as well as a bunch of new unique items, skill gems, balance changes, graphics engine improvements and more!","Delve","","","","","",[]
1,"Delve2","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2/Screenshot3""]","Left untouched for over 250 years, the Azurite Mine has been consumed by a malevolent darkness that cast out the Eternal Empire. Niko, an inventor, has harnessed the power of Voltaxic Sulphite to create a machine called the Crawler that can pierce the darkness. Delve into the mine but don't leave the Crawler's light for long or you'll be crushed by the darkness. \r\nThe Crawler will speed up if you get ahead of it.","Delve",1,"","","","",[]
2,"Delve3","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3/Screenshot3""]","The Azurite Mine is full of treasures for those brave enough to risk the darkness for short periods of time. Use flares to venture farther away from the Crawler's path, and dynamite to destroy unstable walls which conceal even greater rewards.","Delve","","","","","",[]
3,"Delve4","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4/Screenshot3""]","Any Azurite you find in the mine can be traded to Niko at his base camp. In return, he offers to upgrade the Crawler and can sell you flares, dynamite and crafting materials to aid your exploration.","Delve",1,"","","","",[]
4,"Delve5","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading5","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5/Screenshot3""]","Deep in the Azurite Mine, you'll discover many different biomes. As you delve even deeper, you may encounter lost cities from Wraeclast's dark history. Each environment has its own monsters, bosses, encounters and rewards.","Delve","","","","","",[]
5,"Delve6","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading6",[],"The ancient civilisations created special crafting items that can be socketed with fossils to modify their behaviour.","Delve",1,"","","","",[]
6,"Delve7","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading7",[],"The Azurite Mine is Path of Exile's first infinite dungeon. The deeper you delve, the harder the game gets. In Delve, you'll find encounters that are much harder than end-game Maps. Your progress is only limited by the power of your character build. The Depth Ladder tracks who has delved the deepest into the mine.","Delve","","","","","",[]
7,"Delve8","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading8",[],"Path of Exile: Delve includes ten powerful new or completely reworked skills, centered around two character archetypes: the Guardian and the Pathfinder. Play as a holy warrior who strikes down foes with lightning damage while benefiting teammates and minions, or as a chaotic archer who uses nature- and poison-based skills to pin and suffocate enemies.","Delve",1,"","","","",[]
8,"Delve9","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading9",[],"A Path of Exile expansion is not complete without powerful new items to discover! Delve includes 7 new Divination Cards and 18 new Unique Items which have a focus on creating powerful new build opportunities.","Delve","","","","","",[]
9,"Delve10","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading10",[],"In your travels across Wraeclast, you may very rarely discover a Timeworn Reliquary Key. This key will open a portal to the Timeworn Reliquary which contains one of 150 Unique Relics from past Path of Exile leagues.","Delve",1,"","","","",[]
10,"Delve11","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading11",[],"We're also launching two sets of Supporter Packs alongside Delve - the Shadowstalker and Dreadforge Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions!","Delve","","","",1,"",[]
11,"Betrayal1","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading1",[],"In Path of Exile: Betrayal, Jun Ortoi is investigating a mysterious organisation known as the Immortal Syndicate. Help her to manipulate their ranks, reveal the identities of their members, uncover their safehouses and take down their mastermind.","Betrayal","","","","","",[]
12,"Betrayal2","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel2/Screenshot3""]","The Immortal Syndicate has four divisions, each with its own goals: Fortification, Transportation, Research and Intervention. In each area, you will encounter a Syndicate member. Other members can show up to aid their friends or sabotage their enemies. When the battle is complete, you must decide how to continue your investigation.","Betrayal",1,"","","","",[]
13,"Betrayal3","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading3",[],"There are eighteen Syndicate members, each with their own personalities, friendships and rivalries that change as you manipulate the organisation. You will need to bargain, execute, interrogate and even induce them to betray each other in order to further the investigation.","Betrayal","","","","","",[]
14,"Betrayal4","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel4/Screenshot3""]","Your goal is to gain intelligence leading to the captains of each division. Raid their safehouses to pillage their supplies and uncover the ultimate identity of the Immortal Syndicate's mastermind.\n\nEach Syndicate member stores different item types in the safehouse. High-ranked members will have better items. Each division has a different twist on item rewards. Manipulate the Syndicate, maneuvering certain members into positions that are going to be the most rewarding for you","Betrayal",1,"","","","",[]
15,"Betrayal5","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading5",[],"Members of the Immortal Syndicate can drop items with new Veiled Modifiers. Take these to Jun to Unveil the item and pick from one of three properties for the item to receive. As you Unveil specific modifiers, you learn the ability to craft these onto other items and can work towards unlocking higher-level versions of these properties.","Betrayal","","","","","",[]
16,"Betrayal6","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading6","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel6/Screenshot3""]","As the Immortal Syndicate ascended in power, the old cohort of Forsaken Masters mysteriously vanished. In their absence, Einhar, Alva, Niko, Jun and Zana have risen as a new group of Masters to aid you. Their league content, including Delve and Incursion, has been added as core Path of Exile content. Bestiary has been reimagined and simplified; Einhar will handle the nets as you focus on hunting the beasts.","Betrayal",1,"","","","",[]
17,"Betrayal7","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading7",[],"We have revamped the entire process of Mastercrafting, from the user interface to the way you acquire new crafting options. Individual Mastercrafting options are now unlocked by completing specific content, such as Incursion rooms or Delve encounters, rather than by grinding Master levels.","Betrayal","","","","","",[]
18,"Betrayal8","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Heading8","[""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Betrayal/Panel8/Screenshot3""]","Hideouts, favour and decorations are now shared across all leagues. You can load and save your hideout templates and share them with other community members.","Betrayal",1,"","","","",[]
