"rownum","BlightTowersKey","i32","MonsterVarietiesKey","Cost","i32"
0,0,1,7313,0,0
1,1,1,7314,100,0
2,2,1,7315,150,0
3,3,1,7316,300,0
4,4,1,7317,500,0
5,5,1,7318,500,0
6,6,11,7319,100,0
7,7,11,7320,150,0
8,8,11,7321,300,0
9,9,11,7322,500,0
10,10,11,7323,500,0
11,11,45,7324,100,0
12,12,45,7325,150,0
13,13,45,7326,300,0
14,14,45,7327,500,0
15,15,45,7328,500,0
16,16,20,7329,100,0
17,17,20,7330,150,0
18,18,20,7331,300,0
19,19,20,7332,500,0
20,20,20,7333,500,0
21,21,6,7334,100,0
22,22,6,7335,150,0
23,23,6,7336,300,0
24,24,6,7337,500,0
25,25,6,7338,500,0
26,26,1,7339,100,0
27,27,1,7340,150,0
28,28,1,7341,300,0
29,29,1,7342,500,0
30,30,1,7343,500,0
