"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,8706,"",0
1,8707,"",0
2,8708,"",0
3,8709,"",0
4,8744,"",2
5,8745,"",3
6,8746,"",4
7,8747,"",5
8,8748,"",2
9,8749,"",3
10,8750,"",4
11,8751,"",5
12,8752,0,2
13,8753,0,3
14,8754,0,4
15,8755,0,5
16,8756,1,2
17,8757,1,3
18,8758,1,4
19,8759,1,5
20,8760,2,2
21,8761,2,3
22,8762,2,4
23,8763,2,5
24,8764,3,2
25,8765,3,3
26,8766,3,4
27,8767,3,5
28,8768,4,2
29,8769,4,3
30,8770,4,4
31,8771,4,5
32,8772,5,2
33,8773,5,3
34,8774,5,4
35,8775,5,5
36,8776,6,2
37,8777,6,3
38,8778,6,4
39,8779,6,5
40,8780,7,2
41,8781,7,3
42,8782,7,4
43,8783,7,5
44,8784,8,2
45,8785,8,3
46,8786,8,4
47,8787,8,5
48,8788,"",2
49,8789,"",3
50,8790,"",4
51,8791,"",5
52,8792,"",2
53,8793,"",3
54,8794,"",4
55,8795,"",5
56,8796,"",2
57,8797,"",3
58,8798,"",4
59,8799,"",5
