"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3599,163,""
1,"Ice",4,0,6203,164,""
2,"CausticCloud",8,5,4593,466,""
3,"Tar",4,0,4942,165,""
4,"Smoke",8,0,12373,1478,""
5,"Desecration",4,24,2186,202,""
6,"Consecration",10,0,8678,203,1238
7,"Lightning",6,0,10273,227,""
8,"Maelstorm",4,4,4835,692,""
9,"Haste",4,0,"",778,""
10,"Sandstorm",0,24,"",868,""
11,"Blizzard",4,0,"",797,""
12,"Spores",4,24,7295,448,""
13,"DevouringDarkness",4,24,"",837,""
14,"Quicksand",0,24,7936,915,""
15,"Blood",0,24,14669,1113,""
16,"TemporalAnomaly",10,0,10073,1001,1389
17,"OrionMeteor",0,0,"",1415,227
18,"CrownOfThorns",4,24,"",1553,""
19,"VaalCloud",4,24,"",300,""
20,"Profane",10,0,"",1525,""
21,"ChaosOfferingOfJudgement",6,24,"",491,514
22,"FireOfferingOfJudgement",6,24,"",490,514
23,"DespairBearGeyser",0,24,"",861,""
24,"Fungal",0,0,"",1379,1381
25,"BestiarySpiderWeb",0,24,"",1031,""
26,"VaalColdSnap",4,24,7879,1107,""
27,"Oil",4,24,15788,1607,163
28,"Scorch",4,0,"",1696,""
29,"GravityWell",0,24,"",1733,""
30,"LightningVortex",4,4,13938,1758,227
31,"Brittle",4,0,"",1995,""
32,"Sapping",4,0,"",1996,""
33,"Sludge",4,0,"",2004,""
