"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]","rid"
0,"Metadata/Pet/Kiwi/Basic",3924,37988,-398558118,8,"","",[1],27
1,"Metadata/Pet/Kiwi/Bronze",3925,44438,774276016,8,"","",[1],27
2,"Metadata/Pet/Kiwi/Silver",3926,42132,-80846918,8,"","",[1],27
3,"Metadata/Pet/Kiwi/Gold",3927,60474,1808500721,8,"","",[1],27
4,"Metadata/Pet/Kiwi/Diamond",3928,18975,235029533,9,"","",[1],27
5,"Metadata/Pet/Basilisk/Green",3901,61895,-1091154127,8,"","",[1],86
6,"Metadata/Pet/Basilisk/Infernal",3902,36008,237863557,8,"","",[1],75
7,"Metadata/Pet/Basilisk/Spectral",3903,17172,1286475706,8,"","",[1],86
8,"Metadata/Pet/Frog/Blue",3904,37577,1910039313,8,"","",[1],86
9,"Metadata/Pet/Frog/BlueCrown",3905,48394,1576132859,8,"","",[1],86
10,"Metadata/Pet/Frog/Green",3906,58853,1150919036,8,"","",[1],86
11,"Metadata/Pet/Frog/GreenCrown",3907,38190,-1138087676,8,"","",[1],86
12,"Metadata/Pet/Frog/Red",3908,47577,-1986187196,8,"","",[1],86
13,"Metadata/Pet/Frog/RedCrown",3909,46175,1589963419,8,"","",[1],86
14,"Metadata/Pet/Frog/Mysterious",3910,45262,-943687922,8,"","",[1],86
15,"Metadata/Pet/Scorpion/Black",3911,37381,-296518570,8,"","",[1],60
16,"Metadata/Pet/Scorpion/Chrome",3912,20859,386156159,8,"","",[1],86
17,"Metadata/Pet/Scorpion/Purple",3913,13085,1481075546,8,"","",[1],86
18,"Metadata/Pet/Scorpion/Red",3914,29389,-2141064532,8,"","",[1],86
19,"Metadata/Pet/Scorpion/White",3915,41999,784698058,8,"","",[1],86
20,"Metadata/Pet/Scorpion/Yellow",3916,20903,465717861,8,"","",[1],86
21,"Metadata/Pet/Weta/Basic",3920,33343,1722344599,8,"","",[1],86
22,"Metadata/Pet/Weta/Colossal",3921,12979,1519151167,8,"","",[1],86
23,"Metadata/Pet/Weta/Giant",3922,29172,1896349948,8,"","",[1],86
24,"Metadata/Pet/Scorpion/fire_upgrade",3917,30851,493774317,8,"","",[1],75
25,"Metadata/Pet/Scorpion/acid_upgrade",3918,37150,501714169,8,"","",[1],1
26,"Metadata/Pet/Scorpion/Light_upgrade",3919,5815,-902046580,8,"","",[1],82
