"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,8569
1,0,2,8570
2,0,3,8571
3,0,4,8572
4,1,1,8557
5,1,2,8558
6,1,3,8559
7,1,4,8560
8,2,1,8561
9,2,2,8562
10,2,3,8563
11,2,4,8564
12,3,1,8565
13,3,2,8566
14,3,3,8567
15,3,4,8568
16,4,1,8577
17,4,2,8578
18,4,3,8579
19,4,4,8580
20,5,1,8581
21,5,2,8582
22,5,3,8583
23,5,4,8584
24,6,1,8589
25,6,2,8590
26,6,3,8591
27,6,4,8592
28,7,1,8593
29,7,2,8594
30,7,3,8595
31,7,4,8596
32,8,1,8597
33,8,2,8598
34,8,3,8599
35,8,4,8600
36,9,1,8601
37,9,2,8602
38,9,3,8603
39,9,4,8604
40,10,1,8605
41,10,2,8606
42,10,3,8607
43,10,4,8608
44,11,1,8609
45,11,2,8610
46,11,3,8611
47,11,4,8612
48,12,1,8613
49,12,2,8614
50,12,3,8615
51,12,4,8616
52,13,1,8585
53,13,2,8586
54,13,3,8587
55,13,4,8588
56,14,1,8617
57,14,2,8618
58,14,3,8619
59,14,4,8620
60,15,1,8621
61,15,2,8622
62,15,3,8623
63,15,4,8624
