"rownum","Id","bool","i32","Name","AOFiles","bool","bool","i32","bool","bool","i32","[rid]","BaseItemTypesKey","bool","ModsKeys","TagsKeys","ChestEffectsKey","MinLevel","string","MaxLevel","Corrupt_AchievementItemsKey","CurrencyUse_AchievementItemsKey","Encounter_AchievementItemsKeys","rid","InheritsFrom","bool","rid","[i32]","string","i32","i32","bool","rid","rid","bool","bool"
0,"Metadata/Chests/Barrel1",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",1,"",1,100,[],"","",[7234],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
1,"Metadata/Chests/Barrel2",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel2.ao""]",1,"",1,"",1,100,[],"","",[7234],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
2,"Metadata/Chests/Barrel3",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel3.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
3,"Metadata/Chests/Barrel4",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel4.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
4,"Metadata/Chests/Barrel5",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel5.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
5,"Metadata/Chests/BarrelExplode",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,[],"","",[7237],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
6,"Metadata/Chests/BarrelTar",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,[],"","",[7238],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
7,"Metadata/Chests/Barrel1NoDrops",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,[],"","",[7234],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
8,"Metadata/Chests/Barrel1old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1old.ao""]",1,"",1,"",1,100,[],"","",[7234],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
9,"Metadata/Chests/Barrel2old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel2old.ao""]",1,"",1,"",1,100,[],"","",[7234],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
10,"Metadata/Chests/Barrel3old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel3old.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
11,"Metadata/Chests/Barrel4old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel4old.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
12,"Metadata/Chests/Barrel5old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel5old.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
13,"Metadata/Chests/Basket1",1,3,"Basket","[""Metadata/Chests/Baskets/Basket1.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,""
