"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool"
0,6619,[7760],"[1583,7005]",20,"","","","","",1
1,6620,[7760],"[1583,7005]",20,"","","","","",1
2,6621,[7760],"[1583,7005]",20,"","","","","",1
3,6622,[7760],"[1583,7005]",20,"","","","","",1
4,6624,[7761],[1583],20,"","","","","",1
5,6625,[7761],[1583],20,"","","","","",1
6,6626,[7761],[1583],20,"","","","","",1
7,6627,[7761],[1583],20,"","","","","",1
8,6634,[7764],[],20,"","","","","",1
9,6635,[7764],[],20,"","","","","",1
10,6636,[7764],[],20,"","","","","",1
11,6637,[7764],[],20,"","","","","",1
12,6639,[7765],[],20,"","","","","",1
13,6640,[7765],[],20,"","","","","",1
14,6641,[7765],[],20,"","","","","",1
15,6642,[7765],[],20,"","","","","",1
16,6644,[7766],[],20,"","","","","",1
17,6645,[7766],[],20,"","","","","",1
18,6646,[7766],[],20,"","","","","",1
19,6647,[7766],[],20,"","","","","",1
20,6649,[7767],[],20,"","","","","",1
21,6650,[7767],[],20,"","","","","",1
22,6651,[7767],[],20,"","","","","",1
23,6652,[7767],[],20,"","","","","",1
24,6654,[7768],[],20,"","","","","",""
25,8557,[17696],[7006],1,1,"","","","",""
26,8558,[17697],[7006],1,1,"","","","",""
27,8559,[17698],[7006],1,1,"","","","",""
28,8560,[17699],"[7006,7144]",1,1,"","","","",""
29,8561,[17700],[7006],2,1,"","","","",""
30,8562,[17701],[7006],2,1,"","","","",""
31,8563,[17702],[7006],2,1,"","","","",""
32,8564,[17703],"[7006,7145]",2,1,"","","","",""
33,8565,[17704],[7006],3,1,"","","","",""
34,8566,[17705],[7006],3,1,"","","","",""
35,8567,[17706],[7006],3,1,"","","","",""
36,8568,[17707],"[7006,7146]",3,1,"","","","",""
37,8569,[17708],[7006],0,1,"","","","",""
38,8570,[17709],[7006],0,1,"","","","",""
39,8571,[17710],[7006],0,1,"","","","",""
40,8572,[17711],"[7006,7147]",0,1,"","","","",""
41,8573,[17712],[7006],0,1,"","","","",""
42,8574,[17713],[7006],0,1,"","","","",""
