"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5426,100,0,25,100
1,5427,100,0,25,100
2,5428,100,0,25,100
3,5429,100,0,25,100
4,5430,100,0,25,100
5,5431,100,10,100,100
6,5432,100,10,100,100
7,5433,100,10,100,100
8,5434,100,10,100,100
9,5435,100,25,100,100
10,5436,100,25,100,100
11,5439,100,25,100,100
12,5442,100,25,100,100
13,5445,100,25,100,100
14,5448,100,46,100,100
15,5451,100,46,100,100
16,5454,100,46,100,100
17,5457,100,46,100,100
18,5460,100,46,100,100
19,5463,20,60,100,40
20,5464,20,60,100,40
21,5465,20,60,100,40
22,5466,20,60,100,40
23,5467,20,60,100,40
24,5468,20,60,100,40
25,5469,20,60,100,40
26,5470,20,60,100,40
27,5471,20,60,100,40
