"rownum","Id","rid","rid","[rid]","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid"
0,"PlayerBlood","","","[201,202,203,204,205,206]","","","",63,63,64,65,66,67,68,68,69
1,"MonsterRedBlood",0,7,"[201,202,203,204,205,206]",6,"","",70,71,72,65,66,67,68,68,69
2,"ZombieBlood",0,7,"[207,208,209,210,211,212]",6,"","",73,74,75,76,77,78,79,79,80
3,"GreenGhost",1,8,[],"","","",81,81,82,82,82,82,"","",""
4,"PurpleGhost",1,8,[],"","","",83,83,84,84,84,84,"","",""
5,"Mud",2,9,[],"","","",85,85,87,87,87,87,"","",""
6,"Stone",2,9,[],"","","",86,86,87,87,87,87,"","",""
7,"SpiderBlood",0,7,"[213,214,215,216,217,218]",6,"","",88,89,90,91,92,93,94,94,95
8,"Bones",3,10,[],"","","",96,96,97,97,97,97,"","",""
9,"Water",4,11,[],"","","",98,98,99,99,99,99,"","",""
10,"NoBlood","","",[],"","","","","","","","","","","",""
11,"LargeSpiderBlood",0,7,"[213,214,215,216,217,218]",6,"","",100,101,90,91,92,93,94,94,95
12,"AfflictionBlood",1,8,[],8,"","",102,103,104,103,103,103,"","",""
13,"HeistRobotBlood",5,5,[],"","","",105,106,107,105,106,107,"","",""
