"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","[rid]"
0,0,1,1,"You must complete the quest 'Enemy at the Gate' first.",2,2626,2626,[]
1,0,2,2626,"",2626,2626,2626,[]
2,2,3,2626,"",2626,2626,2626,[]
3,2,4,2626,"",2626,2626,2626,[]
4,4,5,2626,"",2626,2626,2626,[]
5,4,7,25,"You must complete the quest 'Breaking Some Eggs' first.",26,2626,2626,[]
6,7,6,2626,"",2626,2626,2626,[]
7,7,8,2626,"",2626,2626,2626,[]
8,8,9,2626,"",2626,2626,2626,[]
9,9,10,2626,"",2626,2626,2626,[]
10,10,11,2626,"",2626,2626,2626,[]
11,11,12,2626,"",2626,2626,2626,[]
12,12,13,2626,"",2626,2626,2626,[]
13,12,14,2626,"",2626,2626,2626,[]
14,17,18,2626,"",2626,2626,2626,[]
15,17,19,2626,"",2626,2626,2626,[]
16,17,25,2626,"",2626,2626,2626,[]
17,19,21,2626,"",2626,2626,2626,[]
18,19,20,2626,"",2626,2626,2626,[]
19,21,24,2626,"",2626,2626,2626,[]
20,21,23,2626,"",2626,2626,2626,[]
21,21,33,2626,"",2626,2626,2626,[]
22,22,33,2626,"",2626,2626,2626,[]
23,25,30,2626,"",2626,2626,2626,[]
24,25,27,2626,"",2626,2626,2626,[]
25,27,28,2626,"",2626,2626,2626,[]
26,30,29,100,"You must complete the quest 'The Root of the Problem' first.",101,2626,2626,[]
27,29,26,2626,"",2626,2626,2626,[]
28,26,31,2626,"",2626,2626,2626,[]
29,26,32,2626,"",2626,2626,2626,[]
30,14,15,2626,"",2626,2626,2626,[]
31,11,16,234,"You must complete the quest 'The Way Forward' first.",231,2626,2626,[]
32,34,35,2626,"",2626,2626,2626,[]
33,34,36,2626,"",2626,2626,2626,[]
34,36,37,2626,"",2626,2626,2626,[]
35,36,44,2626,"",2626,2626,2626,[]
36,44,45,435,"The way is impassable due to the Undying blockage.",195,435,474,[]
37,44,38,2626,"",2626,2626,2626,[]
