"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTiers","bool","Bosses","Radius","Name","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description","MonsterSpawners","bool","Achievements","TextAudio"
0,"ChaosCloudDaemon1",[0],[],[],23,[],"",[],0,"Choking Miasma","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",40225,[],0,5226,[],1,0,"A cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11217
1,"ChaosCloudDaemon2","[0,22]",[],[],24,[0],"",[],0,"Choking Miasma II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",54213,[],0,5226,[],2,0,"A large cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11223
2,"ChaosCloudDaemon3","[0,22]",[],[],25,[1],"",[],0,"Choking Miasma III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",12812,[],0,5226,[],3,0,"A large and fast cloud that deals Chaos Damage over Time will follow you",[],"","[7894,7824]",11229
3,"LightningRuneDaemon1",[1],[],[11],26,[],"",[],0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],0,5226,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11271
4,"LightningRuneDaemon2","[1,22]",[],[11],27,[3],"",[],0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],0,5226,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11277
5,"LightningRuneDaemon3","[1,22]",[],[11],28,[4],"",[],0,"Stormcaller Runes III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],0,5226,[],3,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them",[],"","[7895,7825]",11283
6,"LightningRuneDaemon1Trial",[1],[],[11],29,[],"",[],0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",19821,[],0,5226,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11271
7,"LightningRuneDaemon2Trial","[1,22]",[],[11],30,[6],"",[],0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",13955,[],0,5226,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11277
8,"FlamespitterDaemon1",[12],[],[],31,[],"",[],0,"Raging Dead","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",62391,[],0,5226,[],1,0,"Skulls will appear that spit Fire if you remain near them",[],"",[7826],11235
9,"FlamespitterDaemon2","[12,22]",[],[],32,[8],"",[],0,"Raging Dead II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",26465,[],0,5226,[],2,0,"Many skulls will appear that spit Fire if you remain near them",[],"",[7826],11241
10,"FlamespitterDaemon3","[12,22]",[],[],33,[9],"",[],0,"Raging Dead III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",6748,[],0,5226,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you",[],"","[7896,7826]",11247
11,"FlamespitterDaemon1Trial",[12],[],[],34,[],"",[],0,"Raging Dead","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",28673,[],0,5226,[],1,0,"Skulls will appear that spit Fire if you remain near them",[],"",[7826],11235
12,"FlamespitterDaemon2Trial","[12,22]",[],[],35,[11],"",[],0,"Raging Dead II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",38306,[],0,5226,[],2,0,"Many skulls will appear that spit Fire if you remain near them",[],"",[7826],11241
13,"FlamespitterDaemon3Trial","[12,22]",[],[],36,[12],"",[],0,"Raging Dead III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",49977,[],0,5226,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you",[],"","[7896,7826]",11247
14,"FrostInfectionDaemon1",[13],[],[],37,[],"",[],0,"Blistering Cold","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",13648,[],0,5414,[],1,0,"Frozen pustules will periodically appear and explode when you approach",[],"",[7827],11256
15,"FrostInfectionDaemon2","[13,22]",[],[],38,[14],"",[],0,"Blistering Cold II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",62444,[],0,5414,[],2,0,"Many frozen pustules will periodically appear and rapidly explode when you approach",[],"",[7827],11259
16,"FrostInfectionDaemon3","[13,22]",[],[],39,[15],"",[],0,"Blistering Cold III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",28497,[],0,5414,[],3,0,"Many frozen pustules will periodically appear, chill you, and rapidly explode when you approach",[],"","[7897,7827]",11265
17,"GraveyardDaemon1",[14],[],[15],40,[],"",[],0,"Restless Ground","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",27548,[],0,5226,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11310
18,"GraveyardDaemon2","[14,22]",[],[15],41,[17],"",[],0,"Restless Ground II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",63601,[],0,5226,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11202
19,"GraveyardDaemon3","[14,22,26]",[],[15],42,[18],"",[],0,"Restless Ground III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",43644,[],0,5226,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin",[],"","[7898,7828]",11148
20,"GraveyardDaemon1Trial",[14],[],[15],43,[],"",[],0,"Restless Ground","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",35898,[],0,5226,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11310
21,"GraveyardDaemon2Trial","[14,22]",[],[15],44,[20],"",[],0,"Restless Ground II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",32369,[],0,5226,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms",[],"",[7828],11202
22,"GraveyardDaemon3Trial","[14,22,26]",[],[15],45,[21],"",[],0,"Restless Ground III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",46867,[],0,5226,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin",[],"","[7898,7828]",11148
23,"RevenantDaemon1","[15,26]",[],[14],46,[],"",[],0,"Stalking Ruin","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",7958,[],0,5226,[],1,1,"An invulnerable shade stalks you, inflicting Ruin with its Melee Attacks\r\nFail on reaching 7 Ruin",[],"",[7829],11136
24,"RevenantDaemon2","[15,22,26]",[],[14],47,[23],"",[],0,"Stalking Ruin II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",32061,[],0,5226,[],2,1,"An invulnerable shade stalks you, gaining speed and inflicting Ruin with Melee Attacks and Spells\r\nFail on reaching 7 Ruin",[],"",[7829],11139
25,"RevenantDaemon3","[15,22,26]",[],[14],48,[24],"",[],0,"Stalking Ruin III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",47172,[],0,5226,[],3,1,"An invulnerable shade stalks you, gaining further speed and inflicting Ruin with Melee Attacks and powerful Spells\r\nFail on reaching 7 Ruin",[],"","[7899,7829]",11133
26,"SawbladeDaemon1",[16],[],[],49,[],"",[],0,"Razor Dance","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",7052,[],0,5414,[],1,0,"Blades will periodically appear and fly at you, applying Corrupted Blood on Hit",[],"",[7830],11316
27,"SawbladeDaemon2",[16],[],[],50,[26],"",[],0,"Razor Dance II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",45148,[],0,5414,[],2,0,"Many blades will periodically appear and fly at you, applying Corrupted Blood on Hit",[],"",[7830],11319
28,"SawbladeDaemon3",[16],[],[],51,[27],"",[],0,"Razor Dance III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",22941,[],0,5414,[],3,0,"Swarms of blades will periodically appear and fly at you, applying Corrupted Blood on Hit",[],"","[7900,7830]",11322
29,"PhysTotemDaemon","[17,19,8,24]",[],"[18,24]",52,[],"",[],0,"Totem of Costly Might","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PhysicalTotem",8887,[],0,5226,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Physical Damage benefits, but causes enemies to take 10% of their maximum Life and Energy Shield as Physical Damage per second",[],"",[7831],11313
30,"EleTotemDaemon","[18,19,8,25]",[],"[17,25]",53,[],"",[],0,"Totem of Costly Potency","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ElementalTotem",58910,[],0,5226,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Elemental Damage benefits, but causes enemies to take 15% of their maximum Life and Energy Shield as Fire Damage per second",[],"",[7832],11292
31,"BossTrialMaster",[7],[],[],"",[],"",[8381],0,"The Trialmaster","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EncounterDaemonEffect",58468,[],0,"",[],1,0,"",[],"",[],""
32,"Radius1",[6],[],[11],"",[],"",[],55,"Limited Arena","Art/2DArt/UIImages/InGame/Ultimatum/Icons/CantLeaveArea",5539,[22],0,"",[],1,0,"The encounter area will be much smaller",[],"",[7833],11334
33,"MonstersApplyRuin1","[2,26]",[],[],"",[],"",[],0,"Ruin","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",21525,[10],1,"",[],1,1,"A Monster type will apply Ruin with its special ability\r\nFail on reaching 7 Ruin",[],"",[7936],11133
