"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","NotificationIcon","HideoutName","Id"
0,8,1,[523],0,"","","","SeraphBootsCerulean"
1,8,2,[522],0,"","","","SeraphBodyCerulean"
2,8,3,[524],0,"","","","SeraphGlovesCerulean"
3,8,4,[525],0,"","","","SeraphHelmetCerulean"
4,9,1,[535],0,"","","","SeraphBootsSanguine"
5,9,2,[534],0,"","","","SeraphBodySanguine"
6,9,3,[536],0,"","","","SeraphGlovesSanguine"
7,9,4,[537],0,"","","","SeraphHelmetSanguine"
8,7,1,[7148],0,"","","","HideoutTotemPole1"
9,10,1,[7150],0,"","","","HideoutTotemPole2"
10,11,5,[527],0,"","","","SeraphBootsGolden"
11,11,10,[528],0,"","","","SeraphGlovesGolden"
12,11,15,[526],0,"","","","SeraphBodyGolden"
13,11,20,[529],0,"","","","SeraphHelmetGolden"
14,12,7,[674],0,"","","","RigwaldBoots"
15,12,14,[675],0,"","","","RigwaldGloves"
16,12,21,[676],0,"","","","RigwaldBody"
17,12,28,[673],0,"","","","RigwaldHelmet"
18,12,18,[7152],2,"","","","HideoutTotemPole3"
19,13,12,[709],0,"","","","PerandusFootprints"
20,13,24,[710],0,"","","","PerandusWeapon"
21,13,36,[711],0,"","","","PerandusPortal"
22,13,19,[7154],3,"","","","HideoutTotemPole4"
23,14,12,[732],0,"","","","ProphecyFootprints"
24,14,24,[733],0,"","","","ProphecyWeapon"
25,14,36,[3992],0,"","","","NavaliMonkey"
26,14,19,[7156],3,"","","","HideoutTotemPole5"
27,15,12,[800],0,"","","","EssenceFootprints"
28,15,24,[798],0,"","","","EssenceWings"
29,15,36,[799],0,"","","","EssencePortal"
30,15,19,[7158],3,"","","","HideoutTotemPole6"
31,16,12,[857],0,"","","","BreachFootprints"
32,16,24,[838],0,"","","","BreachPortal"
33,16,36,[828],0,"","","","DemonicWings"
34,16,19,[7160],3,"","","","HideoutTotemPole7"
35,17,12,[915],0,"","","","LegacyFootprintsEffect"
36,17,24,[921],0,"","","","LegacyWeaponEffect"
37,17,36,[870],0,"","","","LegacyPortalEffect"
38,17,19,[7162],3,"","","","HideoutTotemPole8"
39,18,12,[1021],0,"","","","HarbingerEyes"
40,18,24,"[1022,1023]",0,"","","","HarbingerCrownBundle"
41,18,36,[1024],0,"","","","HarbingerCharacterEffect"
42,18,19,[7164],3,"","","","HideoutTotemPole9"
43,19,12,[1221],0,"","","","AbyssHelmet"
44,19,24,[1097],0,"","","","AbyssWings"
45,19,36,[1224],0,"","","","AbyssPortalEffect"
46,19,19,[7166],3,"","","","HideoutTotemPole10"
47,20,12,[1602],0,"","","","BestiaryHelmet"
48,20,24,[1582],0,"","","","BestiaryWings"
49,20,36,[1603],0,"","","","BestiaryPortalEffect"
50,20,19,[7168],3,"","","","HideoutTotemPole11"
51,21,1,[],0,"Congratulations!\nYou earned a Sin and Innocence Mystery Box!","Art/2DItems/Effects/MysteryChest/SinInnocenceMysteryBox.dds","Sin and Innocence Mystery Box","MysteryPackSinAndInnocenceBox"
52,22,12,[1639],0,"","","","IncursionBandana"
53,22,24,[1641],0,"","","","IncursionCloak"
54,22,36,[1642],0,"","","","IncursionPortalEffect"
55,22,19,[7170],3,"","","","HideoutTotemPole12"
56,23,1,[],0,"Congratulations!\nYou earned an Apocalypse Mystery Box!","Art/2DItems/Effects/MysteryChest/ApocalypseMysteryBox.dds","Apocalypse Mystery Box","MysteryPackApocalypseBox"
57,24,12,[4056],0,"","","","DelvePet"
58,24,24,[1817],0,"","","","DelveBackAttachment"
59,24,36,[1807],0,"","","","DelvePortalEffect"
60,24,19,[7172],3,"","","","HideoutTotemPole13"
61,25,12,[1873],0,"","","","BetrayalHelmetAttachment"
62,25,24,[1874],0,"","","","BetrayalAuraEffect"
63,25,36,[1875],0,"","","","BetrayalCloak"
64,25,19,[7174],3,"","","","HideoutTotemPole14"
