"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","bool","Text","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags"
0,"level",1,"","",3,"","Level",1,"","","",1,1043633784,[],18,1,"",1,[]
1,"item_drop_slots",1,"","",3,"","Item Drop Slots","","","","","",-1300918419,[],"","","",1,[]
2,"main_hand_weapon_type",1,"","",3,"","Main Hand Weapon Type",1,"","","",1,356082681,[],"",1,"",1,[]
3,"off_hand_weapon_type",1,"","",3,"","Off Hand Weapon Type",1,"","","",1,501678916,[],"",1,"",1,[]
4,"current_endurance_charges",1,"","",3,"","Endurance Charges",1,"","","",1,-2122390594,[],"","","",1,[]
5,"current_frenzy_charges",1,"","",3,"","Frenzy Charges",1,"","","",1,623963944,[],"","","",1,[]
6,"current_power_charges",1,"","",3,"","Power Charges",1,"","","",1,489142904,[],"","","",1,[]
7,"cannot_have_life_leeched_from",1,"","",4,"","Cannot be Life-Leeched","","","","","",-547445160,[],18,"","","",[]
8,"cannot_have_mana_leeched_from",1,"","",4,"","Cannot be Mana-Leeched","","","","","",-544265574,[],"","","","",[]
9,"monster_slain_experience_+%",1,"","",1,"","Experience From Slain Monsters","","","","","",-412187701,[],"","","",1,[]
10,"monster_dropped_item_rarity_+%",1,"","",1,"","Rarity of Items Dropped by Monsters","","","","","",-1176759949,[],"","","",1,[]
11,"monster_dropped_item_quantity_+%","","","",1,"","Quantity of Items Dropped by Monsters","","","","","",-239722763,[],"","","",1,[]
12,"local_flask_life_to_recover",1,1,"",3,"","Local Flask Life to Recover","","","","","",-576125868,[],"","","",1,[]
13,"local_flask_life_to_recover_+%",1,1,"",1,"","Local Flask Life to Recover +%","","","","","",-1198959115,[],"","","",1,[]
14,"local_flask_mana_to_recover",1,1,"",3,"","Local Flask Mana to Recover","","","","","",1835370919,[],"","","",1,[]
15,"local_flask_mana_to_recover_+%",1,1,"",1,"","Local Flask Mana to Recover +%","","","","","",395902594,[],"","","",1,[]
16,"local_flask_recovery_speed_+%",1,1,"",1,"","Local Flask Recovery Speed +%","","","","","",1556748148,[],"","","",1,[]
17,"local_flask_deciseconds_to_recover",1,1,"",3,"","Time to Recover","","","","","",97193766,[],"","","",1,[]
