"rownum","string","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[i32]","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"EndlessLedge",0,0,0,0,0,0,0,14,16,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"MapEndlessLedge",5,0,0,0,0,0,0,14,16,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
3,"MapEndlessLedge2",5,0,0,0,0,0,0,16,20,100,30,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
4,"Hideout",0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"DescentEarly",0,0,0,0,0,0,0,10,10,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Descent",5,0,0,0,0,0,0,10,10,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
7,"Labyrinth",5,13,0,0,0,30,20,10,10,100,0,2,30,"[50,50,50,1]",20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0
8,"LabyrinthBoss",5,13,0,0,0,0,0,10,10,100,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"LabyrinthBossEnd",5,13,0,0,0,0,0,10,10,100,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
10,"SideAreaEarly",5,15,0,0,0,0,0,0,4,0,0,1,16,"[50,50,50,1]",20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
11,"SideArea",5,15,0,0,0,10,0,10,10,0,0,1,16,"[50,50,50,1]",20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
12,"MapSideAreaEarly",5,15,0,0,0,0,0,16,20,0,0,1,16,"[50,50,50,1]",20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
13,"MapSideArea",5,15,0,0,0,10,0,16,20,0,0,1,16,"[50,50,50,1]",20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
14,"1_1_2",0,12,0,60,0,0,0,0,0,100,20,0,0,"[10,90,0,0]",0,0,80,20,0,100,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
15,"1_1_2a",0,12,0,30,0,0,0,0,0,100,25,0,0,"[10,90,0,0]",0,0,40,20,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,100,100,100,0
16,"1_1_3",0,15,10,60,15,0,0,0,0,100,30,0,0,"[10,90,0,0]",20,0,80,20,0,100,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
17,"1_1_3a",0,15,0,30,15,0,0,0,0,100,35,0,0,"[10,90,0,0]",0,0,40,20,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,100,100,100,0
18,"1_1_4_0",0,15,10,60,15,0,0,0,0,100,40,0,0,"[30,60,10,0]",20,0,80,20,0,0,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
19,"1_1_4_1",0,15,15,60,15,0,0,0,0,100,50,0,0,"[30,60,10,0]",20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
20,"1_1_5",0,15,40,60,15,0,0,0,0,100,50,0,0,"[30,60,10,0]",15,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
21,"1_1_6",0,15,50,60,15,0,0,0,0,100,40,0,0,"[30,60,10,0]",20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
22,"1_1_7_1",0,15,0,60,15,0,0,0,0,100,35,1,20,"[30,60,10,0]",20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
23,"1_1_7_2",0,15,0,60,15,0,0,0,0,100,30,2,30,"[30,60,10,0]",20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20
24,"1_1_8",0,15,80,60,15,0,0,0,0,100,30,2,20,"[30,60,10,0]",20,0,80,20,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100,100,100,20
25,"1_1_9",5,15,40,60,15,0,0,0,0,100,30,2,20,"[30,60,10,0]",20,0,80,20,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100,100,100,20
26,"1_1_9a",5,15,0,30,15,0,0,0,0,100,30,2,20,"[30,60,10,0]",20,0,40,20,0,100,0,0,0,6,0,0,0,40,6,0,0,0,0,0,0,100,0,100,100,100,20
