"rownum","MonsterVarietiesKey","bool","rid"
0,2535,1,""
1,2539,1,15
2,2541,1,38
3,2553,1,""
4,2554,1,27
5,2558,1,15
6,2560,1,55
7,2523,1,5
8,2527,1,19
9,2531,1,26
10,2587,1,40
11,2590,1,48
12,2591,1,71
13,2575,1,25
14,2579,1,7
15,2581,1,54
16,2567,1,28
17,2570,1,9
18,2572,1,35
19,2545,1,8
20,2546,1,6
21,2550,1,70
22,2533,1,88
23,2542,1,15
24,2561,1,27
25,2584,1,8
26,2573,1,78
27,2540,"",23
28,2559,"",36
29,2532,"",18
30,2586,"",32
31,2580,"",34
32,2571,"",13
33,2549,"",35
34,4397,"",""
35,4399,"",""
36,4398,"",""
37,2600,"",""
38,2601,"",""
39,2604,"",""
40,2598,"",""
41,2602,"",""
42,2599,"",""
43,2603,"",""
44,2524,"",5
45,2536,"",""
46,2555,"",27
47,2568,"",28
48,2582,"",54
49,2588,"",40
50,2547,"",6
51,2551,1,78
52,2565,1,""
53,2552,1,""
54,2574,1,""
55,2585,1,""
56,2544,1,""
57,2566,1,81
