"rownum","Mod","i32","i32","i32","i32","string","rid","[string]","bool"
0,6823,50,350,180,150,"Toxic",0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]",""
1,6824,50,350,180,150,"Chaosweaver",1,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]",""
2,6825,50,350,180,150,"Frostweaver",2,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]",""
3,6826,50,350,180,150,"Permafrost",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]",""
4,6828,50,350,180,150,"Hasted",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
5,6829,50,350,180,150,"Deadeye",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
6,6831,75,700,360,300,"Bombardier",6,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]",""
7,6832,50,350,180,150,"Flameweaver",7,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]",""
8,6833,50,350,180,150,"Incendiary",8,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]",""
9,6834,50,350,180,150,"Arcane Buffer",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
10,6837,50,350,180,150,"Echoist",10,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
11,6839,50,350,180,150,"Stormweaver",11,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]",""
12,6840,50,350,180,150,"Dynamo",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]",""
13,6841,50,350,180,150,"Bonebreaker",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
14,6842,50,350,180,150,"Bloodletter",14,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]",""
15,6844,50,350,180,150,"Steel-infused",16,"[""outlinecolour:archnemesismodphysicalgreyoutline"",""archnemesismodphysicalgrey""]",""
16,6845,50,350,180,150,"Gargantuan",17,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
17,6847,50,350,180,150,"Berserker",18,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]",""
18,6838,50,350,180,150,"Sentinel",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
19,6843,50,350,180,150,"Juggernaut",20,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
20,6835,50,350,180,150,"Vampiric",21,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]",""
21,6848,50,350,180,150,"Overcharged",22,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
22,6849,50,350,180,150,"Soul Conduit",23,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
23,6850,200,2000,1000,900,"Opulent",24,"[""outlinecolour:archnemesismodgoldenoutline"",""archnemesismodgolden""]",""
24,6851,50,350,180,150,"Malediction",25,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
25,6852,50,350,180,150,"Consecrator",26,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]",""
26,6853,50,350,180,150,"Frenzied",27,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]",""
27,6854,75,700,360,300,"Heralding Minions",28,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]",""
28,6855,75,700,360,300,"Empowering Minions",29,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
29,6827,75,700,360,300,"Assassin",30,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
30,6830,75,700,360,300,"Trickster",31,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]",""
31,6836,75,700,360,300,"Necromancer",32,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
32,6846,75,700,360,300,"Rejuvenating",33,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
33,6856,75,700,360,300,"Executioner",34,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]",""
34,6857,75,700,360,300,"Hexer",35,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]",""
35,6858,75,700,360,300,"Drought Bringer",36,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
36,6859,75,700,360,300,"Entangler",37,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]",""
37,6860,75,700,360,300,"Temporal Bubble",38,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
38,6861,75,700,360,300,"Treant Horde",39,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]",""
39,6862,75,700,360,300,"Frost Strider",40,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]",""
40,6863,75,700,360,300,"Ice Prison",41,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]",""
41,6864,75,700,360,300,"Soul Eater",42,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
42,6865,75,700,360,300,"Flame Strider",43,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]",""
43,6866,75,700,360,300,"Corpse Detonator",44,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]",""
44,6867,75,700,360,300,"Evocationist",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
45,6868,75,700,360,300,"Magma Barrier",46,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]",""
46,6869,75,700,360,300,"Mirror Image",47,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
47,6870,75,700,360,300,"Storm Strider",48,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]",""
48,6871,75,700,360,300,"Mana Siphoner",49,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]",""
49,6872,75,700,360,300,"Corrupter",50,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]",""
50,6873,75,700,360,300,"Benevolent Guardian",51,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]",""
51,6874,75,700,360,300,"Crystal-skinned",52,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]",""
52,6875,75,700,360,300,"Empowered Elements",53,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
53,6876,75,700,360,300,"Effigy",54,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]",""
54,6878,200,2000,1000,900,"Lunaris-touched",55,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
55,6879,200,2000,1000,900,"Solaris-touched",56,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
56,6880,200,2000,1000,900,"Arakaali-touched",57,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
57,6881,200,2000,1000,900,"Brine King-touched",58,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
58,6882,200,2000,1000,900,"Tukohama-touched",59,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
59,6883,200,2000,1000,900,"Abberath-touched",60,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
