"rownum","Id","DisplayedName","Description","string","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool","string","bool","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool","bool","[rid]","i32","AlternateSkillTargetingBehavioursKey","bool","AIFile","[rid]","bool","bool","bool"
0,"sweep","Sweep","Swings a two handed melee weapon in a circle, knocking back monsters around the character.","Sweep","Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19,27]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",21,1,"[4025,4275,4188,10527]","[24,479,434,185]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
1,"vaal_sweep","Vaal Sweep","Repeatedly swings a two handed melee weapon in a circle, knocking back monsters away from the character.","Sweep","Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,19,37,27]","[14,16,17,15,57]","","",1,"","",21,1,"[4025,4275,4188,10527]","[24,479,434,185]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
2,"ground_slam","Ground Slam","The character slams the ground in front of them with a Staff, Mace or Sceptre, creating a wave that travels forward and damages enemies with an increased chance to stun.","GroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg","","GroundSlam","",21,1,"[3989,4175,5490]","[24,434,8052]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
3,"vaal_ground_slam","Vaal Ground Slam","The character slams the ground with a Staff, Mace or Sceptre, creating a wave that travels in all directions and damages enemies with an increased chance to stun.","VaalGroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14]","[12,32,14,17,36,57]","","",1,"","",21,1,"[3989,4175,5490]","[24,434,8052]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
4,"distance_scaled_ground_slam","Ground Slam","Slams the ground in front of you, creating a wave that travels forward and damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.","DistanceScaledGroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,11,16,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",21,1,"[3989,4175,5490]","[24,434,8052]",[],1,1,[3441],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
5,"vaal_ground_slam_spiked","Vaal Ground Slam","Slams the ground in front of you, creating a wave that travels in all directions that damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.","VaalDistanceScaledGroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14]","[12,32,14,17,11,16,36,57]","","",1,"VaalDistanceScaledGroundSlam","",21,1,"[3989,4175,5490]","[24,434,8052]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
6,"cleave","Cleave","The character swings their weapon (or both weapons if dual wielding) in an arc, damaging monsters in an area in front of them. Only works with Axes and Swords.","Cleave","Art/2DArt/SkillIcons/iconcleave.dds","[1,2]","[0,7,23,19,43,27]","[9,10,11,15,16]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.","http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg","","Cleave","",21,1,"[3982,4204,4174,5377]","[24,70,434,5414]",[],1,1,[5379],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
7,"table_charge","Table Charge","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.","TableCharge","Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"TableCharge","",21,1,"[4211,4011]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1
8,"shield_charge","Shield Charge","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.","ShieldCharge","Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"ShieldCharge","",21,1,"[4211,4011]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1
9,"new_shield_charge","Shield Charge","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies. Cannot be supported by Multistrike.","NewShieldCharge","Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,23]","[0,9,19,7,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","NewShieldCharge","",21,1,"[4211,4011]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1
