"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
0,5400,0,0,0,100,"[11,25,5,4,14,0]",5609,"","","","","","",1,1,"",""
1,5609,2928,0,0,100,"[11,25,5,4,14,24,0]","",1,"","",0,"","",1,1,"",""
2,5401,58,0,0,100,"[11,25,4,14,1,38]",5618,"","","","","","",1,1,"",""
3,5441,5015,0,0,100,"[11,25,4,14,5]",5609,"","","","","","",1,1,"",""
4,5618,67,0,0,100,"[11,25,4,14,24,1,38]","",1,"","",58,"","",1,1,"",""
5,5402,96,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,"",""
6,5454,4983,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,"",""
7,5403,7797,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,"",""
8,5404,5001,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,"",""
9,5405,100,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
10,5406,7147,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,"",""
11,5639,102,100,0,0,"[9,25,13,14,24,33,7]","",1,"","","","","",1,1,"",""
12,5619,5070,0,0,0,"[25,4,5,22]","","","","","","","",1,1,"",""
13,5407,7854,100,0,0,"[9,25,13,14,40,7]",5621,"","","","","","",1,1,"",""
14,5621,7858,100,0,0,"[9,25,13,14,24,40,7]","",1,"","",7854,"","",1,1,"",""
15,5408,163,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
16,5409,184,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","",1,1,"",""
17,5410,224,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,"",""
18,5411,234,0,100,0,"[10,25,13,7,36,33]",5627,"","","","","","",1,1,"",""
19,5627,7852,0,100,0,"[10,25,13,7,36,15,24,33]","",1,"","",234,"","",1,1,"",""
20,5412,5049,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,"",""
