"rownum","BaseItemType","Scaling","Name"
0,8800,0.85,"Bazira"
1,8801,0.85,"Tsvet Matvei"
2,8802,0.85,"Bazira"
3,8803,0.85,"Count Geonor"
4,8804,0.85,"The Crimson Scribe"
5,8805,0.85,"The Midnight Tinkerer"
6,8806,0.85,"Aline Koltz"
7,8807,0.85,"Tsvet Matvei"
8,8808,0.85,"Administrator Qotra"
9,8809,0.85,"Count Geonor"
10,8810,0.85,"Nishem"
11,8811,0.85,"Aline Koltz"
12,8812,0.85,"Count Geonor"
13,8813,0.85,"Marcine Clavus"
14,8814,0.85,"Marcine Clavus"
15,8815,0.85,"Marcine Clavus"
16,8816,0.85,"Marcine Clavus"
17,8817,0.85,"Marcine Clavus"
18,8818,1.2,"Selwyn Eddard"
19,8819,1.2,"Kondor Larcius"
20,8820,1.2,"Grond Ironeye"
21,8821,1.2,"Bazira"
22,8822,1.2,"Bazira"
23,8823,1.2,"Kondor Larcius"
24,8824,1.2,"The Crimson Scribe"
25,8825,1.2,"Administrator Qotra"
26,8826,1.2,"Administrator Qotra"
27,8827,1.2,"The Crimson Scribe"
28,8828,1.2,"Remus Hestor"
29,8829,1.2,"Nishem"
30,8830,1.2,"The Crimson Scribe"
31,8831,1.2,"Anton Laffrey"
32,8832,1.5,"Tsvet Matvei"
33,8833,1.5,"Kondor Larcius"
34,8834,1.5,"The Midnight Tinkerer"
35,8835,1.5,"Bazira"
36,8836,1.5,"Kondor Larcius"
37,8837,1.5,"The Crimson Scribe"
38,8838,3,"Administrator Qotra"
39,8839,3,"Cardinal Uthelius"
40,8840,3,"Castor Pollinius III"
41,8841,0.3,""
42,8842,0.3,""
43,8843,0.3,""
44,8844,0.3,""
45,8845,0.3,""
46,8846,0.3,""
47,8847,0,"Karst"
48,8848,0,"Karst"
49,8849,0,"Karst"
50,8850,0,"Tibbs"
51,8851,0,"Tibbs"
52,8852,0,"Huck"
53,8853,0,"Huck"
54,8854,0,"Vinderi"
55,8855,0,"Vinderi"
56,8856,0,"Gianna"
57,8857,0,"Gianna"
58,8858,0,"Tullina"
59,8859,0,"Tullina"
60,8860,0,"Niles"
61,8861,0,"Niles"
62,8862,0,"Nenet"
63,8863,0,"Nenet"
64,8864,0,"Isla"
65,8865,0,"Isla"
66,8866,0,"Isla"
67,8867,0,"Adiyah"
68,8868,0,"Adiyah"
69,8869,0,"Adiyah"
70,8870,0,"Whakano"
71,8871,0,"Whakano"
72,8872,0,"Whakano"
73,8873,0,"Faustus"
74,8875,0,"Faustus"
75,8876,0,"Faustus"
76,8877,0,"Kurai"
77,8878,0,"Kurai"
78,8879,0,"Kurai"
79,8880,0,"Kurai"
