"rownum","BaseItemTypesKey","AOFile","bool"
0,554,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,555,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,556,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,557,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,558,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,559,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,560,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,561,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,562,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,563,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3726,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
