"rownum","WorldAreas","i32","i32","i32","NPCTextAudioKey","string","string","i32"
0,11,263,151,275,1011,"R_top","L_top",2565
1,23,265,151,363,1013,"R_mid","L_mid",2566
2,26,264,151,451,1012,"R_btm","L_btm",2567
3,41,266,548,275,1014,"L_top","R_top",2568
4,43,268,548,363,1016,"L_mid","R_mid",2569
5,52,267,548,451,1015,"L_btm","R_btm",2570
6,89,269,151,275,1011,"R_top","L_top",2571
7,103,271,151,363,1013,"R_mid","L_mid",2572
8,105,270,151,451,1012,"R_btm","L_btm",2573
9,121,272,548,275,1014,"L_top","R_top",2574
10,139,273,548,363,1016,"L_mid","R_mid",2575
11,153,274,548,451,1015,"L_btm","R_btm",2576
12,742,281,151,275,1011,"R_top","L_top",2577
13,741,283,151,363,1013,"R_mid","L_mid",2578
14,739,282,151,451,1012,"R_btm","L_btm",2579
15,740,284,548,275,1014,"L_top","R_top",2580
16,744,286,548,363,1016,"L_mid","R_mid",2581
17,743,285,548,451,1015,"L_btm","R_btm",2582
