"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey","i32","i32","bool","rid"
0,"UltimatumRecoveryDebuff1",1749,"[-30,-30,-30]",0,[],[],"",0,1,[],1,0,"",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1750,"[-50,-50]",0,[],[],"",0,1,[],1,0,"",""
2,"UltimatumBuffsExpireFaster",1751,[200],0,[],[],"",0,1,[],1,0,"",""
3,"UltimatumCooldownSpeedDebuff",1752,[-80],0,[],[],"",0,1,[],1,0,"",""
4,"UltimatumVulnerabilityDebuff",1745,[100],0,[],"[-100,1,-50]","",0,1,[],1,0,"",""
5,"UltimatumMonsterSpeedBuff",1756,"[50,50,50]",0,[],"[-100,5,0]","",0,1,[],1,0,"",""
6,"Unhinged",1671,[],0,[],[],"",0,1,[],1,0,"",""
7,"PainSuppression",1761,"[0,0,0]",0,[],[],"",0,1,"[13932,13864,14017]",1,0,"",""
8,"PlayerDebuffExtraCriticalRolls",1774,[-1],0,[],[],"",0,1,[],1,0,"",""
9,"PlayerDebuffHinderedMsOnFlaskUse",1775,[4000],0,[],[],"",0,1,[],1,0,"",""
10,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1776,[1],0,[],[],"",0,1,[],1,0,"",""
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1777,"[1,1]",0,[],[],"",0,1,[],1,0,"",""
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1778,[1000],0,[],[],"",0,1,[],1,0,"",""
13,"PlayerDebuffRandomProjectileDirection",1779,[1],0,[],[],"",0,1,[],1,0,"",""
14,"UltimatumFrostInfection",342,[],1,[9],[],1531,0,1,[],1,0,"",""
15,"PlayerDebuffAurasAlsoAffectEnemies",1781,[1],0,[],[],"",0,1,[],1,0,"",""
16,"ScionMovementSpeed",483,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
17,"OccultistWitherNearbyEnemies",1219,[15000],0,[],[],"",0,1,[],1,0,"",""
18,"ScionAuguryOfPenitence",564,[10],60,[3],[],"",0,1,[],1,0,"",""
19,"OccultistPowerChargeOnManaSpent",913,[],0,[],[],"",0,1,[],1,0,"",""
20,"OccultistNearbyEnemiesColdChaosResistLifeRegen",612,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"",""
21,"ChampionMovementSpeed",482,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
22,"JuggernautPhysDamagePreventedAsLifeRegen",1054,[],0,[],[],"",0,1,[],1,0,"",""
23,"OccultistFreezeNearbyChilledEnemies",1220,"[600,600]",0,[],[],"",0,1,[],1,0,"",""
24,"ChampionFortify",1887,[],0,[],[],"",0,1,[],20,0,"",""
25,"PendulumOfDestruction",1035,[],0,[],[],"",0,1,[],1,0,"",""
26,"ChieftanPhysicalAsFireCycle",1041,[100],0,[],[],"",0,1,[],1,0,"",""
27,"ChampionDamageAgainstImpaled",1224,"[6,12]",60,"[1,2,10]",[],"",0,1,[],1,0,"",""
28,"SaboteurBlind",1478,[],35,[3],[9],"",0,1,[],1,0,"",""
29,"AuguryOfPenitence",563,"[16,-8]",60,[3],[],"",0,1,[],1,0,"",""
30,"OccultistNearbyChilledEnemiesReducedHitDamage",1222,[-10],60,[3],[],"",0,1,[],1,0,"",""
31,"OccultistNearbyHinderedEnemiesReducedDotDamage",1223,[-15],60,[3],[],"",0,1,[],1,0,"",""
32,"SlayerCritMultiplier",1309,[-30],60,[3],[],"",0,1,[],1,0,"",""
33,"GuardianDamageSpeedAreaIntimidate",1327,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"",""
34,"AfflictionNearbyEnemiesChilled",1478,[],30,[3],[1],"",0,1,[],1,0,"",""
35,"AfflictionNearbyEnemiesFireExposure",1478,[],30,[3],"[3,-10]","",0,1,[],1,0,"",""
36,"ReplenishingPresenceLifeRegenAura",1521,[60],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
37,"DeadeyeTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
38,"ScionTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
39,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1794,[],0,[],"[8000,2000]","",0,1,[],1,0,"",""
40,"UltimatumLoseChargesEverySecond",1795,[],0,[],[1000],"",0,1,[],1,0,"",""
41,"UltimatumAltarProtection",1798,[],22,"[3,10]",[],1546,0,1,[],1,0,"",""
42,"UltimatumRecoveryDebuff2",1749,"[-60,-60,-60]",0,[],[],"",0,1,[],1,0,"",""
43,"WitherNearbyEnemiesRoyale",1219,[5000],0,[],[],"",0,1,[],1,0,"",""
44,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostLow",1778,[50],0,[],[],"",0,1,[],1,0,"",""
45,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostMid",1778,[200],0,[],[],"",0,1,[],1,0,"",""
