"rownum","WorldAreasKey","BaseItemTypesKey","QuestState","MonsterVarietiesKey","PantheonPanelLayoutKey"
0,1249,8516,1390,8118,0
1,1130,8517,1391,1011,0
2,1136,8518,1392,4381,0
3,1117,8519,1393,2477,1
4,1124,8520,1394,2393,1
5,1231,8521,1395,5361,1
6,1108,8522,1396,3988,2
7,1188,8523,1397,4516,2
8,1213,8524,1398,4011,2
9,1164,8525,1399,5284,3
10,1217,8526,1400,5654,3
11,1163,8527,1401,2334,3
12,1202,8528,1403,5607,6
13,1132,8529,1406,5641,8
14,1186,8530,1407,2277,9
15,1251,8531,1408,8089,10
16,1224,8532,1402,4595,11
17,1228,8533,1405,1586,13
18,1123,8534,1409,5345,14
19,1191,8535,1404,4599,15
