"rownum","Id","MonsterPack","Faction","IsDonutPack","IsElite","MinLevel","MaxLevel"
0,"0",1900,0,"","",1,100
1,"1",1901,0,"","",1,100
2,"2",1902,0,"","",1,100
3,"3",1903,0,"",1,6,100
4,"4",1904,0,"",1,12,100
5,"5",1907,1,"","",1,100
6,"6",1908,1,"","",1,100
7,"7",1909,1,"","",1,100
8,"8",1910,1,"",1,28,100
9,"9",1911,1,"",1,34,100
10,"10",1914,2,"","",1,100
11,"11",1915,2,"","",1,100
12,"12",1916,2,"","",1,100
13,"13",1917,2,"",1,16,100
14,"14",1918,2,"",1,22,100
15,"15",1922,0,1,"",16,100
16,"16",1925,0,1,"",16,100
17,"17",1928,1,1,"",16,100
18,"18",1931,1,1,"",16,100
19,"19",1934,2,1,"",16,100
20,"20",1937,2,1,"",16,100
21,"21",1923,0,1,"",40,100
22,"22",1926,0,1,"",40,100
23,"23",1929,1,1,"",40,100
24,"24",1932,1,1,"",40,100
25,"25",1935,2,1,"",40,100
26,"26",1938,2,1,"",40,100
27,"27",1905,0,"",1,1,5
28,"28",1906,0,"",1,1,11
29,"29",1912,1,"",1,1,27
30,"30",1913,1,"",1,1,33
31,"31",1919,2,"",1,1,15
32,"32",1920,2,"",1,1,21
33,"33",1921,0,1,"",1,15
34,"34",1924,0,1,"",1,15
35,"35",1927,1,1,"",1,15
36,"36",1930,1,1,"",1,15
37,"37",1933,2,1,"",1,15
38,"38",1936,2,1,"",1,15
