"rownum","ActiveSkill","i32","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool","SurgeEffect_EPKFile","string","string"
0,58,0,"","","","","","","","",1,"","",""
1,58,1,"",10,11,12,13,16,14,15,"","","",""
2,58,2,2340,"","","","","","","",1,"","",""
3,58,3,"","","",12,13,"","","",1,"","",""
4,58,4,"",42,43,"","","","","","","","",""
5,58,5,"",44,45,"","","","","",1,"","",""
6,58,6,"",108,108,109,109,110,110,111,1,"","",""
7,58,7,"",112,112,112,112,112,112,112,1,"","",""
8,58,8,"",114,113,114,113,"","","",1,"","",""
9,58,9,"","","",123,123,124,"","",1,"","",""
10,58,10,"","","",125,125,"","","",1,"","",""
11,58,11,"","","","","",126,"","",1,"","",""
12,58,12,"","","","","",127,"","",1,"","",""
13,58,13,"","","",128,"","","","",1,"","",""
14,26,0,"",30,29,32,31,35,33,34,1,"","",""
15,26,1,"",142,141,144,143,147,145,146,1,"","",""
16,17,0,"",24,"",25,"",28,26,27,1,"","",""
17,17,1,"",0,"",1,"",4,2,3,1,"","",""
18,18,0,"",24,"",25,"",28,26,27,1,"","",""
19,18,1,"",0,"",1,"",4,2,3,1,"","",""
20,114,0,"",36,36,37,38,41,39,40,1,"","",""
21,34,0,"",10,11,12,13,16,14,15,"","","",""
22,34,1,"",10,11,12,13,16,14,15,"","","",""
23,34,2,"",10,11,12,13,16,14,15,"","","",""
24,34,3,"",10,11,12,13,16,14,15,"","","",""
25,34,4,"",10,11,12,13,16,14,15,"","","",""
26,75,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
27,76,0,"",77,76,71,70,75,72,73,"","","",""
28,82,0,"",103,103,104,104,105,105,105,"","","",""
29,445,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
30,449,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
31,468,0,"",10,11,12,13,16,14,15,"","","",""
32,220,0,"",10,11,12,13,16,14,15,"","","",""
33,220,1,"",10,11,12,13,16,14,15,"","","",""
34,311,0,364,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
35,311,1,"",10,11,12,13,16,14,15,"","","",""
36,311,2,"",10,11,12,13,16,14,15,"","","",""
37,311,3,1872,10,11,12,13,16,14,15,"","","",""
38,311,4,"",10,11,12,13,16,14,15,1,"","",""
