"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,8409,111,"Essence Item",52571,[]
1,8410,131,"Currency Item",52259,[]
2,8411,151,"Unique Item",18701,[]
3,8412,121,"Map Item",22038,[]
4,8413,251,"Unique Map Item",6696,[]
5,8414,301,"Rare Abyss Item",41772,[]
6,8415,301,"Fragment Item",60390,[]
7,8416,301,"Scarab Item",32186,[]
8,8417,151,"Essence Item",23218,[]
9,8418,301,"Fossil Item",19642,[]
10,8419,221,"Expedition Item",40101,[]
11,8420,151,"Stacked Decks",34745,[]
12,8421,151,"Talisman Item",43064,[]
13,8422,161,"Enchanted Helmet",19352,[]
14,8423,1001,"6-Linked Armour Item",6078,[]
15,8424,141,"Currency Item",14134,[]
16,8425,1501,"League-specific Unique Item",4526,[]
17,8426,501,"Shaper or Elder Armour Item",61377,[]
18,8427,501,"Shaper or Elder Weapon Item",53204,[]
19,8428,701,"Shaper or Elder Trinket Item",61894,[]
20,8429,501,"Elder Map Item",39336,[]
21,8430,351,"Breach Item",43164,[]
22,8431,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,8432,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,8433,301,"Item",31223,[]
25,8434,121,"Quality Gem",16288,[]
26,8435,151,"Bestiary Item",28161,[]
27,8436,221,"Blight Item",19373,[]
28,8437,221,"Metamorph Item",62324,[]
29,8438,431,"Delirium Item",23535,[]
30,8439,111,"Essence Item",46750,[]
31,8440,131,"Currency Item",54300,[]
32,8441,151,"Unique Item",59184,[]
33,8442,121,"Map Item",43361,[]
34,8443,251,"Unique Map Item",37492,[]
35,8444,301,"Rare Abyss Item",2531,[]
36,8445,301,"Fragment Item",4173,[]
37,8446,301,"Scarab Item",25303,[]
38,8447,151,"Essence Item",31454,[]
39,8448,301,"Fossil Item",51101,[]
40,8449,221,"Expedition Item",41074,[]
41,8450,151,"Stacked Decks",47490,[]
42,8451,151,"Talisman Item",23793,[]
43,8452,161,"Enchanted Helmet",42868,[]
44,8453,1001,"6-Linked Armour Item",12755,[]
45,8454,141,"Currency Item",30048,[]
46,8455,1501,"League-specific Unique Item",32094,[]
47,8456,501,"Shaper or Elder Armour Item",38195,[]
48,8457,501,"Shaper or Elder Weapon Item",28068,[]
49,8458,701,"Shaper or Elder Trinket Item",52048,[]
50,8459,501,"Elder Map Item",56725,[]
51,8460,351,"Breach Item",39939,[]
52,8461,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,8462,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,8463,301,"Item",55071,[]
55,8464,121,"Quality Gem",43471,[]
56,8465,151,"Bestiary Item",58563,[]
57,8466,221,"Blight Item",24651,[]
58,8467,221,"Metamorph Item",65346,[]
59,8468,431,"Delirium Item",12740,[]
