"rownum","Id","MonsterVarietiesKeys","MonsterAmount","i32","IsNegated","i32","[i32]","IsLessThen","MinimumHealthPercentage"
0,"HasIceTotemsX4",[1022],4,0,"",200,[],"",1
1,"HasIceMinionsX10","[4154,4155]",10,0,"",200,[],"",1
2,"HasBloodRavensX3",[3050],3,0,"",200,[],"",1
3,"HasFireSkelliesX10",[2273],10,0,"",200,[],"",1
4,"HasNoUnmovedWickermanStatues",[5122],0,0,1,200,[],"",1
5,"HasNoUnmovedStatues",[5121],0,0,1,200,[],"",1
6,"HasVoidPitsX12",[],12,0,"",200,[398],"",1
7,"HasPylonsX12",[],12,0,"",200,[556],"",1
8,"HasLessThan7VoidPits",[],7,0,"",200,[734],1,1
9,"HasLessThan7Pylons",[],7,0,"",200,[904],1,1
10,"HasHeraldOfAshOverHalfHealth",[2427],1,0,"",200,[],"",50
