"rownum","RewardOffer","i32","Character","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[string]","i32","i32","[rid]","i32","rid","i32"
0,0,0,1,5466,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
1,0,1,1,5681,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
2,0,2,1,5655,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
3,0,3,1,5419,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
4,0,4,1,5701,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
5,0,5,1,5873,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
6,0,6,6,5762,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
7,0,7,6,5709,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
8,0,8,6,5681,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
9,0,9,6,5655,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
10,0,10,6,5633,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
11,0,11,6,5778,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
12,0,12,0,5407,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
13,0,13,0,5633,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
14,0,14,4,5408,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
15,0,15,4,5633,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
16,0,16,4,5685,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
17,0,17,4,5798,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
18,0,18,4,5894,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
19,0,19,3,5428,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
20,0,20,3,5426,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
21,0,21,3,5675,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
22,0,22,3,5685,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
23,0,23,3,5424,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
24,0,24,5,5466,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
25,0,25,5,5750,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
26,0,26,5,5820,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
27,0,27,5,5543,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
28,0,28,5,5701,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
29,0,29,5,5811,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
30,0,30,2,5633,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
31,0,31,2,5428,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
32,0,32,2,5655,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
33,0,33,2,5894,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
34,3,0,1,5693,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
35,3,1,1,5694,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
36,3,2,1,5600,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
37,3,3,1,5699,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
38,3,4,1,5420,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
39,3,5,1,5896,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
40,3,6,6,5693,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
41,3,7,6,5765,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
42,3,8,6,5546,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
43,3,9,6,5711,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
44,3,10,6,5676,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
45,3,11,6,5896,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
46,3,12,0,5541,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
