"rownum","Id","Base_ENVFile","Corrupted_ENVFile","i32","i32","[rid]","EnvironmentTransitionsKey","PreloadGroup"
0,"NULL","","",2626,2626,[],"",""
1,"NoMusic","Metadata/EnvironmentSettings/no_music.env","",2626,2626,[],"",""
2,"1_1","Metadata/EnvironmentSettings/1_1_1.env","",2626,2626,[],"",""
3,"1_1w","Metadata/EnvironmentSettings/1_1_1.env","",2626,2626,[],"",""
4,"1_1_silent","Metadata/EnvironmentSettings/no_music.env","",2626,2626,[],"",""
5,"1_2","Metadata/EnvironmentSettings/1_1_2_Night.env","",2626,2626,[],"",""
6,"1_2_remakeledges","Metadata/EnvironmentSettings/1_1_2_LedgeRemake.env","",2626,2626,[],"",""
7,"1_2a","Metadata/EnvironmentSettings/1_1_2a.env","",2626,2626,[],"",""
8,"1_3","Metadata/EnvironmentSettings/1_1_3_Dawn.env","Metadata/EnvironmentSettings/1_1_3_Sunny.env",2626,2626,[],0,""
9,"1_3a","Metadata/EnvironmentSettings/1_1_3a_Dark.env","Metadata/EnvironmentSettings/1_1_3a_Sunny.env",2626,228,[],"",""
10,"1_4_0","Metadata/EnvironmentSettings/1_1_4_0.env","",2626,2626,[],"",""
11,"1_4_0_synthesis","Metadata/EnvironmentSettings/1_1_4_0_synthesis.env","",2626,2626,[],"",""
12,"1_4_1","Metadata/EnvironmentSettings/1_1_4_1.env","",2626,2626,[],"",""
13,"1_4_2","Metadata/EnvironmentSettings/1_1_4_2.env","",2626,2626,[],"",""
14,"1_5","Metadata/EnvironmentSettings/1_1_5.env","",2626,2626,[],"",""
15,"1_6","Metadata/EnvironmentSettings/1_1_6.env","",2626,2626,[],"",""
16,"1_7_1","Metadata/EnvironmentSettings/1_1_7_1.env","",2626,2626,[],"",""
17,"1_7_2","Metadata/EnvironmentSettings/1_1_7_2.env","",2626,2626,[],"",""
18,"1_7_3","Metadata/EnvironmentSettings/1_1_7_3.env","",2626,2626,[],"",""
19,"1_7_3_silent","Metadata/EnvironmentSettings/boss_silent.env","",2626,2626,[],"",""
20,"1_8","Metadata/EnvironmentSettings/1_1_8.env","",2626,2626,[],"",""
