"rownum","Id","BlightTopologyNodesKey","i32","i32","i32","i32","i32","i32","i32"
0,"StraightLine1",0,1,20,0,0,1,0,0
1,"StraightLine1_2",0,1,24,50,100,2,20,50
2,"StraightLine1_3",0,4,71,33,200,3,40,100
3,"StraightLine1_4",0,13,79,25,300,4,60,150
4,"StraightLine1_5",0,72,100,20,400,5,80,200
5,"StraightLine1_6",0,77,100,18,500,6,100,250
6,"StraightLine1_7",0,80,100,16,600,7,120,300
7,"StraightLine1_8",0,82,100,12,700,8,140,350
8,"StraightLine2",1,1,24,1000,0,1,0,0
9,"StraightLine2_2",1,13,79,50,100,2,20,50
10,"StraightLine2_3",1,77,100,33,200,3,40,100
11,"StraightLine2_4",1,82,100,25,300,4,60,150
12,"StraightLine3",2,4,71,1500,0,1,0,0
13,"StraightLine3_2",2,77,100,50,100,2,20,50
14,"StraightLine4",3,13,79,3000,0,1,0,0
15,"StraightLine4_2",3,82,100,50,100,2,20,50
16,"StraightLine5",4,72,100,50,0,1,0,0
17,"StraightLine6",5,77,100,50,0,1,0,0
18,"StraightLine7",6,80,100,50,0,1,0,0
19,"StraightLine8",7,82,100,50,0,1,0,0
20,"DaisyChain2",15,3,19,1000,0,1,0,0
21,"DaisyChain2_2",15,13,79,500,100,2,20,50
22,"DaisyChain2_3",15,77,100,250,200,3,40,100
23,"DaisyChain2_4",15,82,100,125,300,4,60,150
24,"DaisyChain3",17,4,71,1500,0,1,0,0
25,"DaisyChain3_2",17,77,100,375,100,2,20,50
26,"DaisyChain4",20,13,79,3000,0,1,0,0
27,"DaisyChain4_2",20,82,100,325,100,2,20,50
28,"DaisyChain5",24,72,100,4500,0,1,0,0
29,"DaisyChain6",29,77,100,6000,0,1,0,0
30,"DaisyChain7",34,80,100,7500,0,1,0,0
31,"DaisyChain8",39,82,100,7500,0,1,0,0
32,"Bilinear1",44,3,19,1000,0,1,0,0
33,"Bilinear1_2",45,13,79,500,100,2,20,50
34,"Bilinear1_3",46,77,100,250,200,3,40,100
35,"Bilinear1_4",47,82,100,125,300,4,60,150
36,"BilinearAsymmetric2_1",48,4,71,1500,0,1,0,0
37,"BilinearAsymmetric2_1Double",48,77,100,375,100,2,20,50
38,"BilinearSymmetric2_2",50,13,79,3000,0,1,0,0
39,"BilinearSymmetric2_2Double",50,82,100,325,100,2,20,50
40,"BilinearAsymmetric3_1",52,13,79,3000,0,1,0,0
41,"BilinearAsymmetric3_1Double",52,82,100,325,100,2,20,50
42,"BilinearAsymmetric3_2",54,72,100,4500,0,1,0,0
43,"BilinearSymmetric3_3",57,77,100,6000,0,1,0,0
44,"Trilinear1_2",59,68,100,250,100,2,20,50
45,"Trilinear1_2_DelayWaves",60,45,100,250,100,2,20,50
46,"Anatomy1_1Leg",61,4,71,1500,0,1,0,0
47,"Anatomy1_1Leg_Double",61,77,100,375,100,2,20,50
48,"Anatomy1_1Arm",64,4,71,1500,0,1,0,0
49,"Anatomy1_1Arm_Double",64,77,100,375,100,2,20,50
50,"Anatomy_Full",67,13,79,3000,0,1,0,0
51,"Anatomy_Full_Double",67,82,100,325,100,2,20,50
52,"BasicTree1Into2",70,1,8,1000,0,1,0,0
53,"BasicTree1Into2Into2",72,4,71,1500,0,1,0,0
54,"BasicTree1Into2Into2Double",72,77,100,375,100,2,20,50
55,"ChristmasTree6Nodes",75,77,100,6000,0,1,0,0
56,"ChristmasTree8Nodes",79,82,100,7500,0,1,0,0
57,"Quadlinear",84,13,79,3000,0,1,0,0
58,"QuadlinearDouble",84,82,100,325,100,2,20,50
59,"Pentilinear",85,72,100,4500,0,1,0,0
60,"BasicTree3With1Into2",86,13,79,3000,0,1,0,0
61,"BasicTree3With1Into2Double",86,82,100,325,100,2,20,50
62,"BasicTree3With2Into2",88,72,100,4500,0,1,0,0
63,"BasicTree4Into2",91,82,100,7500,0,1,0,0
64,"BlightedMapTree1",96,101,102,100,0,1,0,0
65,"BasicTree2Into2With2LeavesSymmetrical",125,82,100,7500,0,1,0,0
66,"BasicTree2Into2With2By1LeavesAsymmetrical",132,80,100,15000,0,1,0,0
67,"BasicTree2Into2With1LeafSymmetrical",139,77,100,12000,0,1,0,0
68,"BasicTree2Into2With1LeafAsymmetrical",146,72,100,9000,0,1,0,0
