"rownum","Level","StatValueMultiplier","Scaling_StatsKeys","Scaling_Values","i32","[i32]"
0,1,0.1,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",1,"[800,50,100,200,25]"
1,8,0.2,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",1,"[800,50,100,200,25]"
2,15,0.3,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",1,"[800,50,100,200,25]"
3,22,0.4,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",1,"[800,50,100,200,25]"
4,29,0.5,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",2,"[800,50,100,200,25]"
5,36,0.6,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",2,"[800,50,100,200,25]"
6,43,0.7,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",2,"[800,50,100,200,25]"
7,50,0.8,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",2,"[800,50,100,200,25]"
8,57,0.9,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",2,"[800,50,100,200,25]"
9,68,1,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
10,69,1.03,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
11,70,1.06,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
12,71,1.09,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
13,72,1.12,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
14,73,1.15,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
15,74,1.18,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
16,75,1.21,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
17,76,1.24,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
18,77,1.27,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
19,78,1.3,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
20,79,1.33,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",3,"[800,50,100,200,25]"
21,80,1.36,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",4,"[800,50,100,200,25]"
22,81,1.39,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",4,"[800,50,100,200,25]"
23,82,1.42,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",4,"[800,50,100,200,25]"
24,83,1.45,"[10622,10626,10628,10629,10630]","[400,40,100,200,25]",4,"[800,50,100,200,25]"
