"rownum","BaseItemTypesKey","ItemVisualEffectKey","ItemVisualIdentityKey1","ItemVisualIdentityKey2","Stats","ItemClasses","[rid]","bool","[i32]","[i32]","bool","[rid]","bool","[rid]","[rid]","rid"
0,435,12,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
1,436,2,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
2,437,1,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
3,438,13,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
4,439,0,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
5,440,14,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
6,441,3,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
7,442,4,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
8,443,5,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
9,444,6,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
10,445,7,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
11,446,8,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
12,447,9,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
13,448,10,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
14,449,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],""
15,450,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],""
16,451,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],""
17,452,16,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
18,453,17,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
19,454,18,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
20,455,19,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
21,456,20,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
22,457,21,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
23,458,22,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
24,459,23,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
25,460,24,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
26,461,25,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
27,462,43,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
28,364,"","",3756,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
29,363,"","",3755,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
30,360,"","",3757,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
31,361,"","",3758,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
32,362,"","",3759,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
33,365,"","",3760,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
34,366,"","",3761,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
35,3900,"","",3763,[],[25],[],1,[],"[8,21]","",[],"",[],[],""
36,367,"","",3764,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
37,368,"","",3765,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
38,369,"","",3766,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
39,370,"","",3767,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
40,371,"","",3768,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
41,372,"","",3770,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
42,373,"","",3771,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
43,374,"",3772,"",[],[25],[],"",[],[7],"",[],"",[],[],""
44,375,"","",3773,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
45,376,"","",3774,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
46,377,"",3775,"",[],[25],[],"",[],[7],"",[],"",[],[],""
47,378,"",3776,"",[],[25],[],"",[],[7],"",[],"",[],[],""
48,379,"",3777,"",[],[25],[],"",[],[7],"",[],"",[],[],""
49,380,"",3778,"",[],[25],[],"",[],[7],"",[],"",[],[],""
50,381,"",3779,"",[],[25],[],"",[],[7],"",[],"",[],[],""
51,382,"",3780,"",[],[25],[],"",[],[7],"",[],"",[],[],""
52,383,"",3781,"",[],[25],[],"",[],[7],"",[],"",[],[],""
53,384,"",3782,"",[],[25],[],"",[],[7],"",[],"",[],[],""
54,385,"",3783,"",[],[25],[],"",[],[7],"",[],"",[],[],""
55,386,"",3784,"",[],[25],[],"",[],[7],"",[],"",[],[],""
56,387,"",3785,"",[],[25],[],"",[],[7],"",[],"",[],[],""
57,388,"",3786,"",[],[25],[],"",[],[7],"",[],"",[],[],""
58,389,"",3787,"",[],[25],[],"",[],[7],"",[],"",[],[],""
59,390,"",3788,"",[],[25],[],"",[],[7],"",[],"",[],[],""
60,391,"",3789,"",[],[25],[],"",[],[7],"",[],"",[],[],""
61,392,"",3791,"",[],[25],[],"",[],[7],"",[],"",[],[],""
62,393,"",3792,"",[],[25],[],"",[],[7],"",[],"",[],[],""
63,550,"",3845,"",[],[25],[],"",[],[7],"",[],"",[],[],""
64,551,"",3846,"",[],[25],[],"",[],[7],"",[],"",[],[],""
65,476,"",3790,"",[],[25],[],"",[],[7],"",[],"",[],[],""
66,394,"",3762,"",[],[24],[],"",[],[9],"",[],"",[],[],""
67,356,"",8142,"",[],"[25,24,22,23,26,20]",[],"",[],"[7,9,11,12,4]","",[],"",[],[],""
68,358,"","","",[15922],"[0,1,2,33,34]",[],"",[-1],"[26,27,28,29,30]","",[],"",[],[],""
69,357,"","","",[7774],[],"[5519,5545,5525,5589,5518,5516,5587,5517,5513,5520,5649,5650,5651,5591,5508,5514,5507,5634,5636,5635,5637,5613,5515,5521,5668,5854,5773,5772,5588,5590,5592,5440,5471,5652,5653,5785,5787,5808,5804,5805,5903,5904,5905,5906,5911,5914,5814,5813]","",[1],[36],"",[],"",[],[],""
70,395,"","","",[347],[],[5603],"",[1],[36],"",[],"",[],[],""
71,396,"","","",[347],[],"[5487,5629]","",[1],[36],"",[],"",[],[],""
72,397,"","","",[347],[],"[5487,5629]","",[2],[36],"",[],"",[],[],""
73,398,"","","",[347],[],"[5487,5629]","",[3],[36],"",[],"",[],[],""
74,399,"","","",[347],[],"[5487,5629]","",[4],[36],"",[],"",[],[],""
75,403,"","","",[347],[],"[5400,5609]","",[2],[36],"",[],"",[],[],""
76,404,"","","","[347,1302]",[],"[5494,5622]","","[1,1]",[36],"",[],"",[],[],""
77,408,"","","",[347],[],[5505],"",[-29],[36],"",[],"",[],[],""
78,410,"","","",[347],[],"[5401,5618]","",[-3],[36],"",[],"",[],[],""
79,411,"","","",[347],[],"[5418,5623]","",[1],[36],"",[],"",[],[],""
80,412,"","","",[347],[],[5543],"",[1],[36],"",[],"",[],[],""
81,413,"","","",[347],[],"[5457,5611]","",[2],[36],"",[],"",[],[],""
82,414,"","","",[1222],[],"[5532,5548,5534,5535,5541,5546,5542,5566,5688,5830,5826]","",[1],[36],"",[],"",[],[],""
83,415,"","","",[347],[],[5560],"",[1],[36],"",[],"",[],[],""
84,416,"","","",[347],[],"[5561,5617]","",[3],[36],"",[],"",[],[],""
85,417,"","","",[347],[],"[5561,5617]","",[1],[36],"",[],"",[],[],""
86,418,"","","",[347],[],"[5561,5617]","",[2],[36],"",[],"",[],[],""
87,419,"","","",[347],[],[5545],"",[2],[36],"",[],"",[],[],""
88,420,"","","",[347],[],[5566],"",[1],[36],"",[],"",[],[],""
89,402,"","","","[347,1302]",[],"[5407,5621]","","[1,1]",[36],"",[],"",[],[],""
90,421,"","","","[347,1302]",[],[5408],"","[1,1]",[36],"",[],"",[],[],""
91,400,"","","",[347],[],[5419],"",[1],[36],"",[],"",[],[],""
92,422,"","","",[347],[],"[5513,5637,5514,5515,5516,5636,5517,5635,5518,5519,5520,5521,5525,5634,5587,5589,5591,5668,5854,5588,5590,5592,5773,5772,5785,5787,5808,5804,5903,5904,5905,5906,5914]","",[-6],[36],"",[],"",[],[],""
93,423,"","","",[347],[],"[5513,5637,5514,5515,5516,5636,5517,5635,5518,5519,5520,5521,5525,5634,5587,5589,5591,5668,5854,5588,5590,5592,5773,5772,5785,5787,5808,5804,5903,5904,5905,5906,5914]","",[-8],[36],"",[],"",[],[],""
94,424,"","","",[347],[],"[5513,5637,5514,5515,5516,5636,5517,5635,5518,5519,5520,5521,5525,5634,5587,5589,5591,5668,5854,5588,5590,5592,5773,5772,5785,5787,5808,5804,5903,5904,5905,5906,5914]","",[-9],[36],"",[],"",[],[],""
95,425,"","","",[347],[],"[5513,5637,5514,5515,5516,5636,5517,5635,5518,5519,5520,5521,5525,5634,5587,5589,5591,5668,5854,5588,5590,5592,5773,5772,5785,5787,5808,5804,5903,5904,5905,5906,5914]","",[-7],[36],"",[],"",[],[],""
96,426,"","","",[347],[],"[5579,5624]","",[1],[36],"",[],"",[],[],""
97,427,"","","",[347],[],"[5579,5624]","",[2],[36],"",[],"",[],[],""
98,428,"","","",[347],[],"[5579,5624]","",[3],[36],"",[],"",[],[],""
99,429,"","","",[1222],[],"[5532,5548,5534,5535,5541,5546,5542,5566,5688,5830,5826]","",[3],[36],"",[],"",[],[],""
100,430,"","","",[347],[],"[5593,5630]","",[1],[36],"",[],"",[],[],""
101,431,"","","","[347,1302]",[],"[5401,5618]","","[-2,1]",[36],"",[],"",[],[],""
102,432,"","","","[347,1302]",[],[5607],"","[1,2]",[36],"",[],"",[],[],""
103,433,"","","",[347],[],"[5513,5637,5514,5515,5516,5636,5517,5635,5518,5519,5520,5521,5525,5634,5587,5589,5591,5668,5854,5588,5590,5592,5773,5772,5785,5787,5808,5804,5903,5904,5905,5906,5914]","",[-5],[36],"",[],"",[],[],""
104,434,"","","","[347,1302,2678]",[],[5600],"","[1,1,2]",[36],"",[],"",[],[],""
105,353,"","","",[1062],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57]",[],"",[1],"[3,6]","",[],"",[],[],""
106,354,"","","",[4810],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57]",[],"",[1],"[3,6]","",[],"",[],[],""
107,355,38,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
108,463,"","","",[1368],[23],[],"",[1],[13],"",[],"",[],[],""
109,464,"","","",[1368],[23],[],"",[2],[13],"",[],"",[],[],""
110,465,"","","",[1368],[23],[],"",[3],[13],"",[],"",[],[],""
111,466,"","","",[1368],[23],[],"",[4],[13],"",[],"",[],[],""
112,467,"","","",[1368],[23],[],"",[5],[13],"",[],"",[],[],""
113,468,"","","",[1368],[23],[],"",[6],[13],"",[],"",[],[],""
114,469,"","","",[1368],[23],[],"",[7],[13],"",[],"",[],[],""
115,470,"","","",[1368],[23],[],"",[8],[13],"",[],"",[],[],""
116,471,"","","",[1368],[23],[],"",[11],[13],"",[],"",[],[],""
117,472,"","","",[1368],[23],[],"",[12],[13],"",[],"",[],[],""
118,473,"","","",[1368],[23],[],"",[13],[13],"",[],"",[],[],""
119,474,"","","",[1368],[23],[],"",[14],[13],"",[],"",[],[],""
120,475,"","","",[1368],[23],[],"",[15],[13],"",[],"",[],[],""
121,3899,"","","",[1368],[23],[],1,[9],[13],"",[],"",[],[],""
122,482,"","",3798,[],[24],[],"",[],[10],"",[],"",[],[],""
123,483,"","",3799,[],[24],[],"",[],[10],"",[],"",[],[],""
124,484,"","",3800,[],[24],[],"",[],[10],"",[],"",[],[],""
125,485,"","",3801,[],[24],[],"",[],[10],"",[],"",[],[],""
126,486,"","",3802,[],[24],[],"",[],[10],"",[],"",[],[],""
127,487,"","",3803,[],[24],[],"",[],[10],"",[],"",[],[],""
128,488,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
129,489,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
130,490,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
