"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value"
0,"Accuracy1",57597,[6770],30,0,0
1,"Accuracy2",51147,[15028],100,0,0
2,"Accuracy3",64775,[15334],1,0,0
3,"Accuracy4",9632,[15346],40,0,0
4,"Armour1",46180,[9837],600,0,0
5,"Armour2",48720,[97],30,0,0
6,"Armour3",59754,[8259],20,0,0
7,"Armour4",7137,[3466],50,0,0
8,"Armour5",59936,[15015],25,0,0
9,"Armour6",10680,[492],100,0,0
10,"ArmourEvasion1",49522,[12964],5,0,0
11,"ArmourEvasion2",62285,"[122,8218]",8,8,0
12,"ArmourEvasion3",5108,[15040],100,0,0
13,"ArmourEvasion4",23955,[15339],1,0,0
14,"ArmourEnergyShield1",40578,[14937],1,0,0
15,"ArmourEnergyShield2",37614,[14938],120,0,0
16,"ArmourEnergyShield3",16215,[14993],20,0,0
17,"ArmourEnergyShield4",18301,[1278],-20,0,0
18,"Attack1",28524,[1231],3,0,0
19,"Attack2",39154,[10614],30,0,0
20,"Attack3",38401,[14925],50,0,0
21,"Attack4",64511,[15176],40,0,0
22,"Attack5",11938,[15181],1,0,0
23,"Attack6",19500,[15345],1,0,0
24,"Attributes1",5356,[3340],5,0,0
25,"Attributes2",41483,[6880],1,0,0
26,"Attributes3",26621,[15177],5,0,0
27,"Attributes4",52604,[15178],5,0,0
28,"Attributes5",15826,[15179],5,0,0
29,"Axe1",28354,[5225],1,0,0
30,"Axe2",11049,[9091],15,0,0
31,"Axe3",9088,[3491],40,0,0
32,"Axe4",50175,"[12012,11947]",30,15,0
33,"Axe5",64228,[15182],10,0,0
34,"Axe6",233,[11516],1,0,0
35,"Bleeding1",59626,[3387],1,0,0
36,"Bleeding2",10546,[7068],60,0,0
37,"Bleeding3",3449,[5352],60,0,0
38,"Bleeding4",23936,[4728],80,0,0
39,"Bleeding5",38703,[15183],3,0,0
40,"Blind1",43524,[14839],30,0,0
41,"Blind2",7831,[978],100,0,0
42,"Blind3",57463,[3665],60,0,0
43,"Blind4",12100,[3487],100,0,0
44,"Block1",55013,[491],2,0,0
45,"Block2",44840,[8197],2,0,0
46,"Block3",23442,"[1364,1365]",20,20,0
47,"Block4",4500,[15216],3,0,0
48,"Block5",41322,[14590],3,0,0
49,"Bow1",59634,[7486],100,0,0
50,"Bow2",45512,[9878],20,0,0
51,"Bow3",42952,[11113],100,0,0
52,"Bow4",26894,[13295],100,0,0
53,"Bow5",36967,[15571],100,0,0
54,"Bow6",56951,[15572],1,0,0
55,"Brand1",37186,[14939],10,0,0
56,"Brand2",5907,[14997],30,0,0
57,"Brand3",20630,[12105],1,0,0
58,"Brand4",39863,[8613],50,0,0
59,"Brand5",32877,[8440],2,0,0
60,"Brand6",46672,[8591],40,0,0
61,"Caster1",48358,[14966],30,0,0
62,"Caster2",33089,[14996],1,0,0
63,"Caster3",61071,[14998],100,0,0
64,"Caster4",50906,[11456],1,0,0
65,"Caster5",27401,[9001],1,0,0
66,"Caster6",23471,[7232],1,0,0
67,"Chaos1",50933,[14940],1,0,0
68,"Chaos2",59574,"[10702,14941]",1,10,0
69,"Chaos3",1727,[12014],20,0,0
70,"Chaos4",21652,[8840],50,0,0
71,"Chaos5",28678,[150],17,0,0
72,"Chaos6",65015,[485],40,0,0
73,"Charges1",28720,[14942],1,0,0
74,"Charges2",48661,[14943],1,0,0
75,"Charges3",14100,[14944],1,0,0
76,"Charges4",29652,[14972],100,0,0
77,"Charges5",40307,[9553],3,0,0
78,"Claw1",40041,"[2695,2696]",100,100,0
79,"Claw2",7389,[4850],20,0,0
80,"Claw3",36475,"[343,1301]",10,5,0
81,"Claw4",4516,[6325],6,0,0
82,"Claw5",2823,[15317],1,0,0
83,"Claw6",22056,[15353],40,0,0
84,"Cold1",4116,[227],1,0,0
85,"Cold2",13267,[483],40,0,0
86,"Cold3",38814,[201],60,0,0
87,"Cold4",33129,[15185],25,0,0
88,"Cold5",19495,[15186],-5,0,0
89,"Cold6",26782,[15337],15,0,0
90,"Criticals1",9986,[12588],50,0,0
91,"Criticals2",2987,[14967],25,0,0
92,"Criticals3",59734,[14983],100,0,0
93,"Criticals4",38070,[14995],3,0,0
94,"Criticals5",61534,[97],30,0,0
95,"Criticals6",52684,[4122],150,0,0
96,"Curse1",13382,[14945],20,0,0
97,"Curse2",43250,[15000],20,0,0
98,"Curse3",45691,[12080],1,0,0
99,"Curse4",35426,[12215],20,0,0
100,"Curse5",34663,[11500],1,0,0
101,"Curse6",18130,[14926],30,0,0
