"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness"
0,"Fireball","[499,13221]",[611],[25],2.921,0.0474
1,"FireballRoyale","[499,13221]","[611,5759]","[25,35]",3.4315,0.0412
2,"MonsterFireball",[499],[660],[-50],2.5,0.0394
3,"MonsterFireballContactPos","[499,7088,4584,5833]",[660],[-50],2.5,0.0394
4,"BlightMonsterFireball",[499],[],[],2.5,0.045
5,"GemlingFireball1",[499],[],[],1.7889,0.0394
6,"GemlingFireball2",[499],"[173,8635,6205,1212,318,6858]","[2,100,-100,20,-35,20]",1.7889,0.0394
7,"GemlingFireball3",[499],[318],[-35],1.1889,0.0394
8,"FireballSuperNovaCitystalker","[499,1778]","[173,5759]","[8,-90]",0.6111,0.0394
9,"MonsterFireball3Parallel",[499],"[173,8635,6205,6858]","[2,100,-100,20]",1.1889,0.0394
10,"HolyFireElementalFireball",[499],[660],[-50],1.1889,0.0394
11,"LegionTemplarFireball",[499],[660],[-50],2.75,0.04
12,"HolyCitystalkerFireball",[499],[660],[-50],1.1889,0.0394
13,"AbberathMinionFireball","[499,7088,4584,5833]",[],[],1.7833,0.0394
14,"AbberathMinionFireballMap","[499,7088,4584,5833]",[],[],1.605,0.0394
15,"ExileShadowFireball","[1778,499,2320]","[660,173,216,214,175]","[-50,18,50,3,-80]",0.9444,0.0394
16,"AvariusFireball","[499,4584]",[6160],[1],4.4444,0.03
17,"AvariusWickermanFireball","[499,4584]",[6160],[1],2,0.03
18,"AvariusJudgeFireball",[499],[660],[-50],1.1889,0.0394
19,"BlackguardClericBossFireball",[499],[660],[-50],1.1889,0.0394
20,"VaalSideAreaBossHolyFireball","[499,856,1778]","[660,862,864,173,175]","[-50,20000,80,6,-30]",1.1889,0.0394
21,"PhoenixMinionFireball",[],"[175,660]","[-35,-50]",4.6444,0.0394
22,"IzaroDaemonFireball",[499],[660],[-50],1.1889,0.0394
23,"MonsterFireballSideArea","[856,499]","[862,864]","[20000,80]",1.1889,0.0394
24,"ProphecyFireballBurst",[499],"[216,214]","[100,3]",1.5222,0.0414
25,"EssenceFireballBurst",[499],[216],[100],1.5222,0.0414
26,"ProphecyMultiFireball",[499],[173],[4],1.1889,0.0394
27,"MonsterFireballStrMissionBoss",[499],"[175,1790]","[-60,30]",0.5889,0.0394
28,"MonsterFireballKaomsChest",[499],[],[],1.5222,0.0414
29,"MonsterMultiFireball",[499],"[660,173]","[-50,2]",0.7778,0.0394
30,"MonsterMultiFireballSpectre",[499],"[660,173]","[-50,2]",0.7778,0.0394
31,"MonsterSplitFireball","[1115,499]",[660],[-50],0.9556,0.0394
32,"MonsterSplitFireballSpectre","[1115,499]",[660],[-50],0.9556,0.0394
33,"MonsterLesserMultiFireball",[499],"[660,173]","[-50,1]",0.8889,0.0394
34,"MonsterLesserMultiFireballSpectre",[499],"[660,173]","[-50,1]",0.8889,0.0394
35,"MonsterFireballGoatmanBoss","[499,7088,4584,5833]",[1790],[30],1.0222,0.0339
36,"MonsterFireballVaalSummonedSkeleton",[499],[660],[-50],1.1889,0.0475
37,"PyroFireball",[499],[660],[-50],1.1889,0.0394
38,"PyroFireballInvasion",[],[660],[-50],1.1889,0.0394
39,"BloodlinesYellowElementalPyroFireball",[499],"[660,2121,2122,2123,2472]","[-50,8,800,30,-15]",0.4467,0.034
40,"PyroFireballBossSideArea",[499],"[660,216]","[-50,120]",1.0222,0.0394
41,"PyroChaosFireball",[499],[660],[-50],1.3556,0.0285
42,"WbAnimatedItemChaosFireball","[499,2473,12433]","[1487,2121,2122,2123,1212]","[35,3,700,20,-60]",1.3556,0.0285
43,"GladiatorBossFireball",[499],"[660,173]","[-50,2]",0.9444,0.048
44,"ExileFireball",[499],[660],[-50],0.9444,0.048
45,"GemlingFireball",[499],"[660,611,173]","[-50,100,2]",0.7778,0.04
46,"ProphecyDragonFireball",[499],"[660,175,173,5759]","[-50,-50,2,75]",1.7778,0.0414
47,"FrostfireMageDragonFireball",[499],"[660,175,173,5759]","[-50,-50,2,75]",1.7778,0.0414
48,"WestFireball","[499,4584,7088,5833]","[173,1212,175]","[2,150,-70]",3,0.0414
49,"KitavaClericFireball",[499],"[660,175,611,5759]","[-50,20,25,50]",1.7778,0.041
50,"MetamorphKitavaClericFireballVaal",[499],"[2121,2122,2123,1790,5759]","[32,2000,-720,40,50]",1.7778,0.041
51,"MonsterFireballRepeat",[499],[660],[-50],1.1889,0.0394
52,"ReliquaryMonsterFireball","[499,195]","[2121,2122,2123,2472,1790,209,5759]","[3,65,30,-15,80,167,-40]",3.8889,0.04
53,"FireballIncusionFire",[499],[660],[-40],0.9722,0.05
54,"FireballIncusionLightning",[499],[660],[-40],1.0938,0.05
55,"FireballIncursionChaos",[499],[660],[-40],2,0.025
56,"FireballTaowuDash","[499,4584,195]","[7812,5759]","[150,300]",6.2,0.04
57,"FireballTaowuCombo","[499,4584]",[],[],2.33,0.038
58,"IceNova",[618],"[8406,8482]","[2,-20]",1.6555,0.0436
59,"IceNovaRoyale",[618],"[8406,8482]","[2,-20]",1.76,0.0364
60,"BloodNovaStrIntBoss",[618],"[2698,5759]","[-25,15]",1.7727,0.042
61,"IceNovaOnDamageTakenInvasion","[618,6542]","[1844,1845,2698]","[100,35,-25]",1.7727,0.042
62,"IceNovaOnHitCannibalMaleMapBoss",[618],"[2391,5759]","[100,73]",1.7727,0.042
63,"IceNovaOnDeathWaterElemental","[618,1828,1948,9884]","[1782,2698,5759]","[100,-25,15]",1.7727,0.042
64,"IceNovaOnDeathStrMission","[618,1828,1948]","[1782,2698,5759]","[100,-25,15]",2.7273,0.03
65,"DarkSeawitchIceNova",[618],"[2698,5759]","[-25,246]",1.7727,0.042
66,"ProphecyBloodNova",[618],"[2698,5759]","[-25,27]",1.95,0.042
67,"VaalIceNova","[618,9535]","[2125,2126]","[5,-20]",1.7987,0.0364
68,"TormentSpiritVaalIceNova","[618,9884]","[2125,2126,2698,5759]","[5,-20,-25,15]",1.5,0.042
69,"StrMissionIceNovaTotem","[618,1930,9884]","[214,216,2698,5759]","[4,100,-25,73]",1.2727,0.0455
70,"WbIceNova","[618,9884]","[2698,5759]","[-25,73]",1.2727,0.0455
71,"GhostIceNova",[618],"[216,2698,5759]","[-40,-25,56]",2.7273,0.035
72,"EssenceDaemonIceNovaRepeat",[618],"[2698,5759]","[-25,73]",1.2727,0.0455
73,"ProphecyIceNovaTotems","[618,1786,856]","[862,864,1222]","[8000,50,5]",0.9727,0.0333
74,"TotemMapBossIceNovaTotems","[618,1786,856]","[862,864,2226]","[8000,50,6]",0.9727,0.0333
75,"IceNovaTrapSideAreaBoss","[1784,618,330,7939,5858,2561]","[869,1212,1180,2698]","[6000,-40,9,-25]",1.8182,0.034
76,"IceNovaWaterElementalMap",[618],"[2698,8406,5759]","[-25,1,15]",1.0873,0.034
77,"IceNovaWaterElemental","[12561,618]","[2698,5759]","[-25,15]",0.8364,0.0304
78,"IceNovaWaterElementalHellscape","[12561,618]",[5759],[15],0.8364,0.0304
79,"IceNovaWaterElementalMetamorphosis",[618],"[2698,5759]","[-25,15]",0.8364,0.0304
80,"IceNovaWaterElementalInvasion",[618],"[2698,5759]","[-25,15]",0.8364,0.0304
81,"MonsterTotemIceNova","[9884,618]","[2698,5759]","[-25,15]",0.9727,0.0333
82,"PopUpTotemIceNova","[9884,618]","[2698,216,5759]","[-25,30,15]",1.4545,0.052
83,"WbIceNovaSupport",[618],"[2698,5759]","[-25,15]",0.9727,0.0333
84,"WbIceNovaSupport2","[618,1847]","[357,2698,5759]","[4000,-25,15]",0.9727,0.0333
85,"TotemBossTeamAAtollIceNovaChilledGround","[618,1847]","[357,2698,4811,8406,5759]","[4000,-25,100,1,62]",2.9455,0.06
86,"IzaroDaemonIceNova",[618],"[2698,5759]","[-25,15]",1.3636,0.035
87,"TempestDaemonIceNova",[618],"[2698,5759]","[-25,15]",4.5,0.06
88,"ShrineIceNova","[618,1847,9884]","[357,2698,5759]","[4000,-25,15]",0.9727,0.0333
89,"ShrineIceNovaPlayer","[618,1847,9884]","[357,2698,5759]","[4000,-25,15]",0.9727,0.0333
90,"EssenceDaemonIceNova","[618,1847,856,1786]","[357,2698,862,883,5759]","[4000,-25,10000,20,15]",0.9727,0.0333
91,"WestIceNovaDaemon","[618,1327,1930]","[357,5759]","[1500,15]",1.5,0.038
92,"WestIceNovaAttachedDaemon","[618,1327,1930]","[357,5759]","[1500,50]",2.5,0.04
93,"WestIceNovaTriggered","[618,1930,110]","[594,5759]","[10,125]",0.9313,0.05
94,"ChestIceNova","[618,1847]","[357,2698]","[6000,-25]",3.1818,0.062
95,"VaalIncursionIceNova",[618],[5759],[73],3.1818,0.062
96,"LeapSlam","[618,3581,9869]",[8566],[550],0,0
