"rownum","Id","ArmFiles","TdtFiles","bool","[string]","[i32]","row","WorldAreasKey","bool","i32"
0,"MissionFish","[""Metadata/Terrain/Missions/Fish/mission_room.arm""]","[""Metadata/Terrain/Cave/Features/Water/cave_abysswater_v01_01.tdt""]","",[],[0],"","","",41
1,"MissionZana","[""Metadata/Terrain/Missions/Scion/mission_room.arm""]",[],"",[],[0],"","","",41
2,"StoneCircle","[""Metadata/Terrain/StoneCircles/stonecircle_01.arm""]","[""Metadata/Terrain/StoneCircles/stonecircle_v01_01.tdt""]","",[],[8],"","","",41
3,"Shrine","[""Metadata/Terrain/generic_shrine.arm""]",[],"",[],[8],"","","",41
4,"VaalSideArea","[""Metadata/Terrain/vaal_side_area.arm""]",[],"","[""sidearea""]",[0],"","","",41
5,"LabyrinthTrial","[""Metadata/Terrain/Labyrinth/RoomSets/LabyrinthTrial.arm""]",[],"","[""maptrial""]","[0,3]","","","",41
6,"ProphecyCrystalBoss","[""Metadata/Terrain/Mountain/Mines/Rooms_Level3/Unique/prophecy_boss.arm"",""Metadata/Terrain/Mountain/Mines/Rooms_Level3/Unique/prophecy_boss_alt.arm""]",[],"","[""telepad5"",""teleport6"",""telepad6"",""teleport5""]",[0],"","","",41
7,"ProphecyDarkTome","[""Metadata/Terrain/RuinedCity/Library/Rooms/Unique/book_prophecy.arm""]",[],"",[],[0],"","","",41
8,"IncursionPast","[""Metadata/Terrain/Leagues/Incursion/Rooms/treasure_hunter.arm""]",[],"",[],[0],"","","",41
9,"DelveMineralVein","[""Metadata/Terrain/Leagues/Delve/Rooms/mineral_vein1.arm"",""Metadata/Terrain/Leagues/Delve/Rooms/mineral_vein2.arm""]",[],"",[],[3],"","","",41
10,"DelveMineralChest","[""Metadata/Terrain/Leagues/Delve/Rooms/resource_chest.arm""]",[],"",[],[3],"","","",41
11,"BetrayalLaboratory","[""Metadata/Terrain/Leagues/Betrayal/Rooms/betrayal_feature_laboratory.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Tiles/Laboratory/laboratory_entrance_v01_01.tdt""]","","[""link""]",[0],"",396,"",41
12,"BetrayalFortFallback","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_fallback.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","","",41
13,"BetrayalFortSmall1","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_small_ritual.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","",1,41
14,"BetrayalFortMed1","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_med_outpost.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","",1,41
15,"BetrayalFortLarge1","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_large_ritual.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","",1,41
16,"SynthesisEncounter","[""Metadata/Terrain/Leagues/Synthesis/Rooms/feature.arm""]",[],"","[""link""]",[3],"","","",30
17,"SynthesisReward","[""Metadata/Terrain/Leagues/Synthesis/Rooms/reward.arm""]","[""Metadata/Terrain/Leagues/Synthesis/Tiles/Synthesis_RewardPlatform.tdt""]","",[],[0],"","","",41
18,"LegionMonolith","[""Metadata/Terrain/Leagues/Legion/legion_monolith.arm""]",[],"",[],[8],"","","",41
19,"BlightEncounter","[""Metadata/Terrain/Leagues/Blight/blight_encounter.arm""]",[],"",[],[4],"","","",41
20,"HarvestEncounter","[""Metadata/Terrain/Leagues/Harvest/harvest_encounter.arm""]",[],"","[""link""]",[0],"",1291,"",41
21,"UltimatumEncounter","[""Metadata/Terrain/Leagues/Ultimatum/wager_encounter.arm""]","[""Metadata/Terrain/Leagues/Ultimatum/UltimatumArena/Tiles/ultimatum_altar.tdt""]","",[],[0],"","","",41
22,"ExpeditionEncounter","[""Metadata/Terrain/Leagues/Expedition/encounter.arm""]",[],"",[],[0],"","","",41
23,"ExpeditionBossSideArea","[""Metadata/Terrain/Leagues/Expedition/ExpeditionBossEntrance.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_01.tdt""]","",[],"[0,3]","","","",41
24,"ExpeditionSideArea","[""Metadata/Terrain/Leagues/Expedition/ExpeditionChamberEntrance.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_02.tdt""]","",[],[8],"","","",41
25,"ExpeditionSideAreaCave","[""Metadata/Terrain/Leagues/Expedition/ExpeditionCaveEntrance.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_03.tdt""]","",[],[8],"","","",41
26,"ExpeditionBossMedved","[""Metadata/Terrain/Leagues/Expedition/ExpeditionBossEncounter.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_Medved.tdt""]","",[],"[0,3]","","","",41
27,"ExpeditionBossVorana","[""Metadata/Terrain/Leagues/Expedition/ExpeditionBossEncounter.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_Vorana.tdt""]","",[],"[0,3]","","","",41
28,"TangleQuest","[""Metadata/Terrain/EndGame/MapAtlasPrimordial/tangle_quest.arm""]",[],"",[],[0],"","","",41
29,"CleansingFireQuest","[""Metadata/Terrain/EndGame/MapAtlasPrimordial/cleansing_fire_quest.arm""]",[],"",[],[0],"","","",41
