"rownum","BaseItemTypesKey","Name","Group","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues","RecoveryTime2","BuffStatValues2"
0,5162,"Small Life Flask",1,70,0,30,"",[],30,[]
1,5163,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,5164,"Large Life Flask",1,250,0,35,"",[],35,[]
3,5165,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,5166,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,5167,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,5168,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,5169,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,5170,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,5171,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,5172,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,5173,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,5174,"Small Life Flask",1,70,0,40,"",[],40,[]
13,5175,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,5176,"Large Life Flask",1,200,0,60,"",[],60,[]
15,5177,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,5178,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,5179,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,5180,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,5181,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,5182,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,5183,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,5184,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,5185,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,5186,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,5187,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,5188,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,5189,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,5190,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,5191,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,5192,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,5193,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,5194,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,5195,"Diamond Flask",4,0,0,60,114,[100],60,[100]
34,5196,"Ruby Flask",4,0,0,80,115,"[50,-20]",80,"[50,-20]"
35,5197,"Sapphire Flask",4,0,0,80,116,"[50,-20]",80,"[50,-20]"
36,5198,"Topaz Flask",4,0,0,80,117,"[50,-20]",80,"[50,-20]"
37,5199,"Granite Flask",4,0,0,60,118,[1500],60,[1500]
38,5200,"Quicksilver Flask",4,0,0,60,119,[40],60,[40]
39,5201,"Amethyst Flask",4,0,0,65,120,[35],65,[35]
40,5202,"Quartz Flask",4,0,0,60,121,"[1,10]",60,"[1,10]"
41,5203,"Jade Flask",4,0,0,60,122,[1500],60,[1500]
42,5204,"Basalt Flask",4,0,0,80,123,[20],80,[20]
43,5205,"Aquamarine Flask",4,0,0,80,124,[-60],80,[-60]
44,5206,"Stibnite Flask",4,0,0,80,126,[20],80,[20]
45,5207,"Sulphur Flask",4,0,0,80,127,[40],80,[40]
46,5208,"Silver Flask",4,0,0,60,128,[1],60,[1]
47,5209,"Bismuth Flask",4,0,0,85,125,[35],85,[35]
48,5210,"Gold Flask",4,0,0,50,129,[30],50,[30]
49,5211,"Corundum Flask",4,0,0,75,1832,[30],75,[30]
50,5212,"Iron Flask",4,0,0,50,130,[200],50,[200]
