"rownum","bool","i32","i32","i32","i32","i32","i32","string","[rid]","i32","[i32]","i32","i32"
0,"",0,0,0,0,0,0,"BattlePassOneArchnemesisWatchersEye",[3755],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",375,399
1,"",0,0,0,33554432,285212672,0,"BattlePassOneArchnemesisDyingSun",[3757],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",376,400
2,"",0,0,0,67108864,553648128,0,"BattlePassOneArchnemesisAegisAurora",[3754],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",377,401
3,"",0,0,0,100663296,838860800,0,"BattlePassOneArchnemesisHandsoftheHighTemplar",[3753],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",378,402
4,"",0,0,0,134217728,1124073472,0,"BattlePassOneArchnemesisParadoxica",[3756],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",379,403
5,"",0,0,0,167772160,1409286144,0,"BattlePassOneArchnemesisMjolner",[3752],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",380,404
6,"",0,0,0,201326592,1677721600,0,"BattlePassOneArchnemesisBottledFaith",[3759],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",381,405
7,"",0,0,0,234881024,1962934272,0,"BattlePassOneArchnemesisHeadhunter",[3758],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",382,406
8,1,0,0,0,0,0,0,"BattlePassTwoRumisConcoction",[3860],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",375,399
9,1,0,0,0,33554432,285212672,0,"BattlePassTwoDeadReckoning",[3856],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3757,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246022144,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3753,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3756,0,0,0,6357058,7602292,6619244,6357072]",376,400
