"rownum","BuffDefinitions","[i32]","StatsKeys","i32","[i32]","i32","i32","[i32]"
0,854,[],"[477,447]",0,[],0,0,[]
1,873,[],"[6235,6239]",0,[],1,0,[]
2,898,[],[346],25,"[1,2,0]",2,0,[]
3,900,"[1,1]",[477],0,[],3,0,[]
4,902,[],"[173,172,6243,1115]",0,[],4,0,[]
5,904,[],"[24,477,70,177]",0,[],5,0,[]
6,1083,[],"[24,70,216,177,477]",0,[],6,0,[]
7,897,[],"[6374,6375,6376]",0,[],7,0,[]
8,1142,[1],[],30,[2],8,0,[]
9,1257,[],[],0,[],9,0,[]
10,1303,[],"[177,70]",0,[],10,0,[]
11,1382,[],[24],0,[],11,0,[]
12,1393,[],"[717,24]",0,[],12,0,[]
13,1419,[],"[43,44,611,4995,477]",0,[],13,0,[]
14,1420,[],"[50,51,7419,477]",0,[],14,0,[]
15,1421,[],"[57,58,7420,477,659]",0,[],15,0,[]
16,1422,[],"[28,29,477,1905]",0,[],16,0,[]
17,1430,[],[140],0,[],17,0,[]
18,1434,[],[1954],200,"[2,9,13]",18,100,[]
19,1434,[],[1954],200,"[2,9,13]",19,85,[]
20,1434,[],[1954],200,"[2,9,13]",20,70,[]
21,1434,[],[1954],200,"[2,9,13]",21,55,[]
22,1434,[],[1954],200,"[2,9,13]",22,35,[]
23,1406,[],"[5869,5870,5872,5873,346]",74,"[2,9,10]",23,0,[]
24,1407,[],"[5869,5870,5872,5873,346]",55,"[2,9,10]",24,0,[]
25,1445,[],"[5869,5870,5872,5873,346]",74,"[2,9,18]",25,0,[]
26,1446,[],"[5869,5870,5872,5873,346]",55,"[2,9,18]",26,0,[]
27,905,[],"[24,477,70,177,3414]",0,[],28,0,[]
28,901,"[1,1,1]",[477],0,[],29,0,[]
29,903,[],"[173,172,6243,1115,10617]",0,[],30,0,[]
30,899,[],[346],35,"[1,0]",31,0,[]
31,906,[],"[595,659]",0,[],32,0,[]
32,1637,[],[1953],23,"[2,4,9]",33,0,[]
33,1637,[],[1953],11,"[2,4,9]",34,0,[]
34,1697,[],"[477,151,153]",16,"[2,10]",35,0,[]
35,1700,[],[346],0,[],36,0,[]
36,1716,[-8],[1957],120,"[2,9,10]",37,0,[]
37,1720,[],[477],28,"[1,9,14]",38,0,[]
38,1699,[],[346],120,"[0,1,2,9]",39,0,[]
39,1727,[],"[139,138]",0,[],40,0,[]
40,1637,[],[1953],23,"[2,3,9]",41,0,[]
41,1637,[],[1953],11,"[2,3,9]",42,0,[]
42,1753,[],[2566],14,[2],43,0,[]
43,1754,[],[2566],14,[2],44,0,[400]
44,1780,[],[],0,[],45,0,[]
45,1845,[],[1951],150,"[2,9,13]",46,55,[]
46,1951,[],"[3345,1955]",38,"[2,13]",47,25,[]
47,1972,[],"[70,216,214,15487]",0,[],48,0,[]
48,1407,[],"[5869,5870,5872,5873,346]",48,"[2,9,10]",49,0,[]
49,1782,[10],[],0,[],1000,0,"[1,50]"
