"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
0,1130,6852,"",381,1870,"[68,1,83,75,71]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","",""
1,1131,7905,"",381,1871,[0],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","",""
2,1142,6841,"",390,1882,"[32,3,58]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","",""
3,1143,8081,"",390,1883,[2],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","",""
4,1132,6849,"",382,1872,"[5,69,108]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","",""
5,1133,10735,"",382,1873,[4],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","",""
6,1186,6857,"",426,1925,"[49,95,7]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","",""
7,1187,7924,"",426,1926,[6],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","",""
8,1140,6821,"",389,1880,"[59,43,9,61,63]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","",""
9,1141,10968,"",389,1881,[8],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","",""
10,1164,6935,"",406,1903,"[72,39,11,22]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","",""
11,1165,10966,"",406,1904,[10],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","",""
12,1175,6858,"",415,1914,"[94,113,13,80]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","",""
13,1176,10734,"",415,1915,[12],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","",""
14,1210,6883,"",446,1948,"[66,52,103,15]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","",""
15,1211,8235,"",446,1949,[14],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","",""
16,1203,6861,"",441,1941,"[33,94,96,113,17]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","",""
17,1204,7967,"",441,1942,[16],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","",""
18,1159,6854,"",403,1899,"[35,32,103,19]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","",""
19,1160,8017,"",403,1900,[18],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","",""
20,1102,6835,"",350,1842,"[102,21,86,67,38]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","",""
21,1103,8401,"",350,1843,[20],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","",""
22,1172,6864,"",413,1911,"[48,34,10,23,97,109]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","",""
23,1173,8000,"",413,1912,[22],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","",""
24,1134,6878,"",383,1874,"[39,25,90]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,""
25,1209,8021,"",383,1947,[24],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","",""
26,1144,6871,"",391,1884,"[27,79,56,63,77]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","",""
27,1145,10348,"",391,1885,[26],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","",""
28,1152,6811,"",398,1892,"[29,40,100]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","",""
29,1153,6954,"",398,1893,[28],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","",""
30,1174,6847,"",414,1913,"[35,52,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","",""
31,1083,6938,"",331,1823,"[86,100,46]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","",""
32,1248,6851,"",470,1974,"[2,18,84]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"","",""
33,1117,6810,"",368,1857,"[88,89,16,65]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"","",""
34,1245,6797,"",438,1972,"[42,22,50]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"","",""
35,1188,6859,"",427,1927,"[30,18,97,84,114]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"","",""
36,1167,6827,"",408,1906,"[94,112,78]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"","",""
37,1086,6805,"",334,1826,"[72,66,39]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1,""
38,1228,6901,"",463,1966,"[20,105,70,99]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"","",""
39,1094,6820,"",342,1834,"[48,24,10,37]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"","",""
40,1207,6817,"",444,1945,"[104,51,28,101]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"","",""
41,1107,6891,"",353,1847,"[51,58]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"","",""
42,1193,6825,"",431,1932,"[34,83,71,97,114]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"","",""
43,1206,6798,"",443,1944,"[106,8,55,57]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"","",""
44,1163,6899,"",405,1902,"[102,59,63,77]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"","",""
45,1199,6823,"",437,1938,"[91,86,110]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"","",""
46,1097,6842,"",345,1837,"[92,49,95,31]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"","",""
47,1198,6822,"",436,1937,"[74,73,71,114]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"","",""
48,1139,6833,"",388,1879,"[39,22,50,90]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"","",""
