"rownum","Id","rid","[f32]","[rid]","[string]"
0,"FireSurgeMultiSpeed",4492,"[1,2,3]","[4492,4492,4492]","[""slow"",""medium"",""fast""]"
1,"ColdSurgeMultiSpeed",4909,"[1,2,3]","[4909,4909,4909]","[""slow"",""medium"",""fast""]"
2,"LightningSurgeMultiSpeed",4908,"[1,2,3]","[4908,4908,4908]","[""slow"",""medium"",""fast""]"
3,"FlameSurge3",2382,[],[],[]
4,"ColdSurge1",2395,[],[],[]
5,"GemlingColdSurge",2440,[],[],[]
6,"LightningSurge1",2396,[],[],[]
7,"ChaosSurge1",2397,[],[],[]
8,"HolySurge1",2406,[],[],[]
9,"PoisonSurge1",2407,[],[],[]
10,"AuraSurgeRed1",2401,[],[],[]
11,"AuraSurgePurple1",2403,[],[],[]
12,"AuraSurgeGreen1",2399,[],[],[]
13,"AuraSurgeLightGreen1",2400,[],[],[]
14,"AuraSurgeGolden1",2404,[],[],[]
15,"AuraSurgeBlue1",2402,[],[],[]
16,"FocusSurge",2486,[],[],[]
17,"VortexSurge",2602,[],[],[]
18,"HuntsmanAuraStart",2876,[],[],[]
19,"MadcapPhaseRunStart",2834,[],[],[]
20,"MoltenShellCast",3090,[],[],[]
21,"StygianMoltenShellCast",3980,[],[],[]
22,"MoltenShellCastViper",4929,[],[],[]
23,"VaalMoltenShellCast",3091,[],[],[]
24,"StygianVaalMoltenShellCast",3990,[],[],[]
25,"AuraSurgeOrange1",2405,[],[],[]
26,"MinionFocusFireSurge",3364,[],[],[]
27,"PolarisBlackAuraStart",3532,[],[],[]
28,"PolarisWhiteAuraStart",3533,[],[],[]
29,"FrenzyArrowBaseSurge",3595,[],[],[]
30,"ArrowBaseSurgeFire",3712,[],[],[]
31,"ArrowBaseSurgeIce",3713,[],[],[]
32,"ArrowBaseSurgeLightning",3714,[],[],[]
33,"ArrowBaseSurgePhys",3715,[],[],[]
34,"ArrowBaseSurgePhysRed",3716,[],[],[]
35,"ArrowBaseSurgeChaos",3717,[],[],[]
36,"BladeBurstSurge",3833,[],[],[]
37,"IllusionistBladeBlastSurgeEffect",3934,[],[],[]
38,"SawbladeBladeBlastSurgeEffect",3944,[],[],[]
39,"AuraSurgeScientist",3917,[],[],[]
40,"StygianSurgeNew",5155,[],[],[]
41,"DarkSurge",4006,[],[],[]
42,"AngelicAuraEffect",4011,[],[],[]
43,"DemonicAuraEffect",4012,[],[],[]
44,"MicrotransactionDragonHunterSurge",4016,[],[],[]
45,"DesecrateStygianSurge",3985,[],[],[]
46,"GhostflameSurge",2437,[],[],[]
47,"FlameSurgeNew",4239,[],[],[]
48,"CelestialSurge",2438,[],[],[]
49,"HarbingerSurge",2439,[],[],[]
50,"ColdSurgeNew",4240,[],[],[]
51,"LightningSurgeNew",4241,[],[],[]
52,"DetonateBrandsSurge",4320,[],[],[]
53,"SunriseAuraEffect",4403,[],[],[]
54,"NightfallAuraEffect",4404,[],[],[]
55,"VoidSurge",4790,[],[],[]
56,"BladeVortexIllusionist",4830,[],[],[]
57,"AutomatonSurge",4831,[],[],[]
58,"DeathWishSurge",4857,[],[],[]
59,"DarkwoodSurge",4894,[],[],[]
60,"ChaoticEthercraftAura",4914,[],[],[]
61,"EnragedEthercraftAura",4915,[],[],[]
62,"SavageEthercraftAura",4916,[],[],[]
63,"TranquilEthercraftAura",4917,[],[],[]
64,"BlasphemySurge",4944,[],[],[]
65,"SufferingSurge",5049,[],[],[]
66,"MiserySurge",5072,[],[],[]
67,"BlueDragonSurge",5075,[],[],[]
68,"RedDragonSurge",5076,[],[],[]
69,"CombinedDragonSurge",5077,[],[],[]
70,"MicrotransactionFrostVikingSurge",5157,[],[],[]
71,"FirestormCelestialSurge",5203,[],[],[]
72,"MicrotransactionLightbringerSurge",5213,[],[],[]
73,"MicrotransactionDarkshardSurge",5214,[],[],[]
74,"BloodTendrilsSurge",5218,[],[],[]
75,"BloodSurgeSurge",5223,[],[],[]
76,"ArcPurpleSurge",5224,[],[],[]
77,"RadiantSurge",5225,[],[],[]
78,"MicrotransactionMerchantSurge",5241,[],[],[]
79,"CelestialWaveOfConvictionSurge",5265,[],[],[]
80,"StygianWaveOfConvictionSurge",5266,[],[],[]
81,"FrenzyArrowSurgeArcane",5306,[],[],[]
82,"SummonRavenSurge",5324,[],[],[]
83,"SummonBloodRavenSurge",5325,[],[],[]
84,"SummonBeesSurge",5326,[],[],[]
85,"CelestialSummonRagingSpiritSurge",5327,[],[],[]
86,"SummonArcaneEyeSurge",5518,[],[],[]
87,"PainSuppressionSurge",5330,[],[],[]
88,"SunSurge",5342,[],[],[]
89,"BloodreapSurge",5399,[],[],[]
90,"IceShotVaalOrbSurge",131,[],[],[]
91,"RighteousFireLightbringerSurge",5435,[],[],[]
92,"ArrowSurgeStygianPuncture",5502,[],[],[]
93,"AbsolutionBlastSurge",5537,"[1,2,3]","[5537,5537,5537]","[""slow"",""medium"",""fast""]"
94,"OverseerSurge",5538,[],[],[]
95,"ScavengerSurge",5539,[],[],[]
96,"BloodTendrilsSurgeTranscendence",5590,[],[],[]
97,"VoidEmperorBladeBurstSurgeEffect",5616,[],[],[]
98,"ManaSurgeMultiSpeed",5625,"[1,2,3]","[5625,5625,5625]","[""slow"",""medium"",""fast""]"
99,"ColdSnapOverseerSurge",5634,[],[],[]
100,"VortexSurgeMyrmidon",5651,[],[],[]
101,"ArrowSurgeFireMystic",5661,[],[],[]
102,"StormCultistLightningSurge",5702,[],[],[]
103,"EyeOfWinterCelestialSurge",5732,[],[],[]
104,"SirenSurge",5979,[],[],[]
105,"DeepwaterSurge",5980,[],[],[]
106,"DirebladeFireballMultiSurge",6050,"[1,2,3]","[6050,6050,6050]","[""slow"",""medium"",""fast""]"
107,"SummonRagingSpiritsOblivionSurge",6075,[],[],[]
108,"SummonRagingSpiritsOnyxOblivionSurge",6076,[],[],[]
109,"CracklingLanceCelestial",6112,[],[],[]
110,"HeritageSurge",6122,[],[],[]
111,"DivergenceSurge",6123,[],[],[]
112,"OblivionFireballSurge",6175,"[1,2,3]","[6175,6175,6175]","[""slow"",""medium"",""fast""]"
113,"OnyxOblivionFireballSurge",6176,"[1,2,3]","[6176,6176,6176]","[""slow"",""medium"",""fast""]"
114,"MoltenShellCastDivine",6237,[],[],[]
115,"BloodTendrilsSurgeMercurial",6284,[],[],[]
116,"XenozakSurge",6366,[],[],[]
117,"FirestormMeteorShowerSurge",6376,[],[],[]
118,"SummonRagingSpiritsDemonicSurge",6377,[],[],[]
119,"ForbiddenRiteCatSurge",6382,[],[],[]
120,"DemonicFireballSurge",6384,"[1,2,3]","[6384,6384,6384]","[""slow"",""medium"",""fast""]"
121,"CelestialNovaSurge",6397,[],[],[]
122,"BloodSurgeHeritageSurge",6407,[],[],[]
123,"LightningArrowDivineSurge",6498,[],[],[]
124,"IceSpearVoidEmperorSurge",6499,[],[],[]
