"rownum","Id","Name","rid","ItemClassCategory","RemovedIfLeavesArea","[rid]","[rid]","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","i32","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","bool","bool","bool","[i32]","Flags"
0,"LifeFlask","Life Flasks",28,0,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[1,2]",[4]
1,"ManaFlask","Mana Flasks",29,0,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[1,2]",[4]
2,"HybridFlask","Hybrid Flasks",30,0,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[3,2]",[4]
3,"Currency","Currency",38,5,"",[],[],"",1,"",2626,1211,"","","","","","","","","","","","","[1,1]",[7]
4,"Amulet","Amulets",21,6,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,"",1,1,1,1,"[1,1]",[6]
5,"Ring","Rings",22,7,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,"",1,1,1,1,"[1,1]",[6]
6,"Claw","Claws",4,8,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,0,1,1,1,1,"[2,2]","[1,2,0]"
7,"Dagger","Daggers",5,3,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,1,1,1,1,1,"[1,3]","[1,2,0]"
8,"Wand","Wands",6,9,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,2,1,1,1,1,"[1,3]",[0]
9,"One Hand Sword","One Hand Swords",7,2,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]"
10,"Thrusting One Hand Sword","Thrusting One Hand Swords",8,2,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,4,1,1,1,1,"[1,4]","[1,2,0]"
11,"One Hand Axe","One Hand Axes",9,10,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]"
12,"One Hand Mace","One Hand Maces",10,1,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]"
13,"Bow","Bows",13,11,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,5,1,1,1,1,"[2,4]",[0]
14,"Staff","Staves",14,4,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,6,1,1,1,1,"[2,4]","[2,0]"
15,"Two Hand Sword","Two Hand Swords",15,12,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,7,1,1,1,1,"[2,4]","[2,0]"
16,"Two Hand Axe","Two Hand Axes",16,13,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,8,1,1,1,1,"[2,4]","[2,0]"
17,"Two Hand Mace","Two Hand Maces",17,14,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,8,1,1,1,1,"[2,4]","[2,0]"
18,"Active Skill Gem","Active Skill Gems",26,15,"",[],[],"",1,"",2626,1211,"",1,"","","","","","","","","","","[1,1]",[]
