"rownum","Mod","Type","bool"
0,30060,2,""
1,30061,2,""
2,30062,2,""
3,30063,2,""
4,30064,2,""
5,30065,2,""
6,30066,2,""
7,30067,2,""
8,30068,2,""
9,30069,2,""
10,30070,2,""
11,30071,2,""
12,30072,1,""
13,30073,1,""
14,30074,1,""
15,30075,1,""
16,30076,1,""
17,30077,1,""
18,30078,1,""
19,30079,1,""
20,30080,1,""
21,30081,1,""
22,30082,1,""
23,30083,1,""
24,30084,1,""
25,30085,0,""
26,30086,0,""
27,30087,0,""
28,30088,0,""
29,30089,0,""
30,30090,0,""
31,30091,0,""
32,30092,0,""
33,30093,0,""
34,30094,0,""
35,30095,0,""
36,30096,0,""
37,30097,0,""
38,30098,0,""
39,30099,2,""
40,30100,2,""
41,30101,2,""
42,30102,2,""
43,30103,2,""
44,30104,2,""
45,30105,2,""
46,30106,2,""
47,30107,2,""
48,30108,2,""
49,30109,2,""
50,30110,2,""
51,30112,2,""
52,30114,1,""
53,30115,1,""
54,30116,1,""
55,30117,1,""
56,30118,1,""
57,30119,1,""
58,30120,1,""
59,30121,1,""
60,30122,1,""
61,30123,1,""
62,30124,1,""
63,30125,1,""
64,30126,1,""
65,30128,0,""
66,30129,0,""
67,30130,0,""
68,30131,0,""
69,30132,0,""
70,30133,0,""
71,30134,0,""
72,30135,0,""
73,30136,0,""
74,30137,0,""
75,30138,0,""
76,30139,2,1
77,30140,2,1
78,30141,1,""
79,30142,1,""
80,30143,1,""
81,30144,2,1
82,30145,2,1
83,30146,1,""
84,30147,1,""
85,30148,1,""
86,30149,1,""
87,30150,1,""
88,30151,1,""
89,30152,1,""
90,30153,1,""
91,30154,2,1
92,30155,2,1
93,30156,2,1
94,30157,2,1
95,30158,2,1
96,30159,2,1
97,30160,2,1
98,30161,0,""
99,30162,0,""
100,30163,0,""
101,30164,0,""
102,30165,0,""
103,30166,0,""
104,30167,0,1
