"rownum","Id","SmallWorldAreasKey","i32","HideoutFile","[rid]","LargeWorldAreasKey","HideoutImage","IsEnabled","Weight","rid","bool","Name","[i32]","bool","bool","bool","bool"
0,"HideoutForest",1523,65379,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[34],1522,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"","Lush Hideout",[],"",1,1,""
1,"HideoutArch",1503,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1227],1504,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,3,1,"Robber's Trench Hideout",[],"",1,1,""
2,"HideoutBattleground",1551,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1189],1552,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,1,1,"Battle-scarred Hideout",[],"",1,1,""
3,"HideoutBeach",1547,33485,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1130],1548,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,1,1,"Coastal Hideout",[],"",1,1,""
4,"HideoutLibrary",1553,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1126],1554,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,1,1,"Enlightened Hideout",[],"",1,1,""
5,"HideoutGardens",1557,62863,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1188],1558,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,2,1,"Overgrown Hideout",[],"",1,1,""
6,"HideoutSolaris",1555,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1119],1556,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,1,1,"Immaculate Hideout",[],"",1,1,""
7,"HideoutFellshrine",1549,45200,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1081],1550,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,1,1,"Unearthed Hideout",[],"",1,1,""
8,"HideoutSlum",1545,62635,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1098],1546,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,1,1,"Backstreet Hideout",[],"",1,1,""
9,"HideoutSewer",1525,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[48],1524,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"","Undercity Hideout",[],"",1,1,""
10,"HideoutMine",1529,55535,"Metadata/Terrain/Missions/Hideouts/Mine/decoration.hideout",[62],1528,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ExcavatedHideout",1,10000,0,"","Excavated Hideout",[],"",1,1,""
11,"HideoutCourts",1515,31968,"Metadata/Terrain/Missions/Hideouts/Courts/decoration.hideout","[74,75]",1516,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/StatelyHideout",1,10000,0,"","Stately Hideout",[],"",1,1,""
12,"HideoutCoral",1506,18035,"Metadata/Terrain/Missions/Hideouts/Coral/decoration.hideout",[96],1505,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoralHideout",1,10000,0,"","Coral Hideout",[],"",1,1,""
13,"HideoutRuinedTemple",1531,6122,"Metadata/Terrain/Missions/Hideouts/RuinedTemple/decoration.hideout",[105],1530,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BalefulHideout",1,10000,0,"","Baleful Hideout",[],"",1,1,""
14,"HideoutOasis",1533,750,"Metadata/Terrain/Missions/Hideouts/Oasis/decoration.hideout",[136],1532,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DesertHideout",1,10000,0,"","Desert Hideout",[],"",1,1,""
15,"HideoutOssuary",1513,61235,"Metadata/Terrain/Missions/Hideouts/Ossuary/decoration.hideout",[153],1514,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SkeletalHideout",1,10000,0,"","Skeletal Hideout",[],"",1,1,""
16,"HideoutBaths",1511,55372,"Metadata/Terrain/Missions/Hideouts/Baths/decoration.hideout",[121],1512,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LuxuriousHideout",1,10000,0,"","Luxurious Hideout",[],"",1,1,""
17,"HideoutTemplarLab",1544,55414,"Metadata/Terrain/Missions/Hideouts/TemplarLab/decoration.hideout",[155],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CartographyHideout",1,0,0,1,"Cartographer's Hideout",[],"",1,1,""
18,"HideoutPillarsOfArun",1534,65044,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout",1,0,0,1,"Towering Hideout",[],"",1,1,1
