"rownum","WorldAreasKey","i32","[i32]","MonsterVarietiesKeys1","MonsterVarietiesKeys2","i32","i32","i32","i32"
0,2,1,[],"[1113,1114,1115,1120,1122,1124]",[449],90,200,66,0
1,3,1,[],"[1101,1103,1105,4222,4229,4236,5990,5991,5992,5993]",[472],150,350,66,0
2,4,1,[],"[2685,2648,1044,4222,4229,4236,5990,5991,5992,5993]","[1101,1103,1105]",150,400,85,0
3,5,1,[],"[1138,1141,1144,416,424]","[1132,1134,1136,1044]",150,400,85,0
4,6,1,[],"[432,1132,1134,1136]","[641,519]",250,650,85,0
5,7,1,[],"[889,498,3028]","[1132,1134,1136,641,1044]",150,450,85,0
6,8,1,[],"[886,495,907,1061,1044]","[1132,1134,1136,641]",150,450,85,0
7,9,1,[],"[651,519,2686,2649,2712,994,995,996,997]","[215,1535]",250,450,66,0
8,10,1,[],"[215,256,532]","[5227,5231]",200,500,85,0
9,11,1,[],"[649,394,539,8599]","[1206,1208,1210,8600]",250,550,85,0
10,12,1,[],"[649,403,546,579,623,8599]","[1206,1208,1210,8600]",250,600,85,0
11,13,1,[],"[313,229,267]",[472],150,600,85,0
12,14,0,[],"[425,1215,163,1035,898]","[153,178]",250,675,100,0
13,15,1,[],"[167,1051,1215,174]","[887,494]",200,650,85,0
14,16,1,[],"[488,171,886,174,3028,494]","[5990,5991,5992,5993]",200,600,85,0
15,17,2,[],"[488,481,891,889,482,902]","[460,4796]",200,650,70,0
16,19,1,[],"[339,352,874]",[1517],250,700,85,0
17,20,1,[],"[378,119,840,842,844,846,848,356,364,3857,850]","[215,5]",250,650,85,0
18,21,1,[],"[105,944,3857]","[369,366,313]",300,700,85,0
19,22,1,[],"[57,6,537,699,701,703,705,707,371]","[119,3857]",300,650,85,0
20,27,1,[],"[54,370,6,8850]","[119,364,366,356]",300,700,85,0
21,23,1,[],"[643,614,537,940]","[171,586,590]",300,700,85,0
22,24,1,[],"[653,400,940]","[610,584,590]",300,650,85,0
23,25,1,[],"[1191,1193,1195,394,941]","[945,541]",300,700,85,0
24,26,2,[],"[777,405,638]","[938,623,541]",300,800,85,0
25,28,1,[],"[874,344,357,8847]","[3082,3084,51,58]",300,620,85,0
26,29,2,[],"[938,863,2625]","[119,339,352,935]",300,700,85,0
27,30,1,[],"[50,43,935,11]","[52,8847]",300,700,85,0
28,31,1,[],"[8846,915]","[949,924]",250,550,85,0
29,32,2,[],"[866,274,8853,8854,8855,8856]","[795,791,8860]",350,750,85,0
30,33,2,[],"[59,416,4226,4232,8,424]","[119,874,8847,8849]",250,650,85,0
31,34,1,[],"[342,3082,3084,8847]","[121,882]",300,700,85,0
32,35,4,[],"[120,178,905,627,582,608,782,745,756,278]","[136,2625,3893,409,1569,1563]",250,600,85,0
33,36,3,[],"[627,582,608,788,751,764,1005,991,990,992,989,8857]","[278,866,409,1569,1563]",250,650,85,0
34,37,1,[],"[641,519,1167,1170,1176,2485,8849]",[371],250,660,85,0
35,39,1,[],"[2036,1517]","[1594,1597]",200,700,85,0
36,40,1,[],"[1508,2036]","[1614,1515]",200,600,85,0
37,41,1,[],"[1554,753,1561]","[1604,1571,1916]",200,600,85,0
38,42,3,[],"[2036,1899,1977]","[1517,1614,2038]",150,550,85,0
39,43,1,[],"[1567,1608,590]","[1912,1981]",200,600,85,0
40,44,2,[],"[1311,1242,1493]","[1269,1299,1494,1495]",200,650,85,0
41,45,1,[],[1490],"[1484,1482]",200,500,75,0
42,46,1,[],"[1490,1882]","[1484,1482]",200,550,85,0
43,47,1,[],"[2043,2045,1545,1899,2047]","[2056,2054]",200,600,85,0
44,48,2,[],"[1910,1979,2024]","[1573,1445,3027]",150,450,85,0
45,49,1,[],"[1310,1298,1243]","[1310,1304]",250,700,85,0
46,50,5,[],"[1305,1304,1373]","[1310,1243,1298,1387,1391,1394]",200,700,85,0
47,51,2,[],"[1424,1846]","[1404,1306,1387,1391,1394]",250,675,85,0
48,52,1,[],"[1620,1530,3748,2625]","[882,366,371]",200,550,85,0
49,53,2,[],"[1909,1981,641]","[432,732,633]",250,800,85,0
50,54,1,[],"[1909,1981,732]","[588,633]",200,550,85,0
51,55,1,[],"[1918,1959,1928,1963,1456,1469]","[1909,1981]",200,650,85,0
52,56,1,[],"[1918,1959,1928,1963,1456,1469]","[1547,959]",200,600,85,0
53,58,1,[],"[3761,3828,3748]","[2043,2047,3791,3773,3805]",200,800,85,0
54,59,0,[],"[3773,3791,3809,3863,3757,3851]",[],200,800,85,0
55,60,0,[],"[3886,3899,3913,3918,3937]",[],200,800,85,0
56,61,0,[],"[3886,3899,3913,3918,3937,3928]",[],200,800,85,0
57,62,1,[],"[3887,3901,3915,3922,3941]",[3932],200,800,85,0
58,63,1,[],"[4176,3976,863,3998,3982,3982]",[1556],200,800,85,0
59,64,1,[],"[3986,3969,3971,3970,4181,3967]",[3998],300,1000,85,0
60,65,1,[],"[4015,4025,4026]","[313,1227,1230]",200,800,85,0
61,66,1,[],"[4048,4052,4053]",[4143],250,875,85,0
62,67,0,[],"[560,719,4076,4101,4093,4106,4087,4389,562,722]",[],200,800,85,0
63,68,1,[],"[560,719,4076,4101,4093,4106,4087,4389,562,722]","[1849,1373]",200,800,85,0
64,69,0,[],"[560,719,4076,4101,4093,4106,4087,4389,562,722,1867]",[],200,800,85,0
65,70,0,[],"[5141,230,269,5144,5145,5146,321,323]",[],200,800,80,0
66,71,0,[],"[5220,5218,5261,5262]",[],200,800,85,0
67,73,1,[],"[4872,5220,4897,5218]","[5261,5262]",200,800,85,0
68,74,2,[],"[4897,4891,4892,4988,4989,4973]","[4842,5261,5262]",200,800,75,0
69,76,0,[],"[4891,4892,4881,5255,4988,4989]",[],200,800,85,0
70,78,0,[],"[4881,5237,4984,1354,5255]",[],200,800,85,0
71,77,1,[],"[5257,1361,4990,4994,4986,4992,4882,4884]","[5556,5558,5560]",200,800,85,0
72,75,2,[],"[5556,5558,5560,4898,4900]","[5257,4990,4994,1361,4992]",200,800,60,0
73,80,0,[],"[668,5623,5625,2986,2988,2990,2992,5631,5633,601,5627,5629,5635,5637]",[],200,800,85,0
74,79,1,[],"[5676,737,5787,645,603,647]","[5646,5648,5650]",200,800,85,0
