"rownum","Type","rid","rid","f32","Icon","Name"
0,0,183,6421,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGeneric2","Generic"
1,1,177,6422,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardCurrency","Currency"
2,2,192,6423,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardUniques","Uniques"
3,3,182,6424,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGems","Gems"
4,4,186,6425,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMaps","Maps"
5,5,191,6426,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTrinkets","Trinkets"
6,6,174,6427,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardArmour","Armour"
7,7,193,6428,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardWeapon","Weapon"
8,8,179,6429,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardEssences","Essences"
9,9,181,6430,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFragments","Fragments"
10,10,189,6431,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardScarabs","Scarabs"
11,11,185,6432,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardLabyrinth","Labyrinth"
12,12,178,6433,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDivination","DivinationCards"
13,13,173,6434,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardAbyss","Abyss"
14,14,184,6435,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardHarbinger","Harbinger"
15,15,176,6436,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBreach","Breach"
16,16,180,6437,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFossils","Fossils"
17,17,190,6438,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardLegion","Legion"
18,18,190,6439,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBlight","Blight"
19,19,190,6440,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMetamorph","Metamorphosis"
20,20,190,6441,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconExpedition","Expedition"
21,21,190,6442,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconHeist","Heist"
22,22,190,6443,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconRitual","Ritual"
23,23,190,6444,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Delirium"
24,24,190,6445,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Sentinel"
