version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,9082,239,38,9086,17704
3.12.0,9880,260,38,9884,19386
3.12.4b,9994,263,38,9998,19614
3.12.5c,10070,265,38,10074,19788
3.12.5d,10108,266,38,10112,19864
3.13.0,10488,276,38,10492,20864
3.14.0,10868,286,38,10872,21674
3.14.3b,10906,287,38,10910,21738
3.15.0,11590,305,38,11594,23460
3.15.3,11590,305,38,11594,23530
3.15.3c,11628,306,38,11632,23610
3.16.0,17172,318,54,17176,29716
3.16.3b,17226,319,54,17230,29802
3.17.0,24150,345,70,24154,32620
3.17.3,24220,346,70,24224,32696
3.17.4b,24290,347,70,24294,32780
3.18.0,24990,357,70,24994,33864
3.19.0,25760,368,70,25764,35084
3.19.2b,33210,369,90,33214,35148
3.20.0,34110,379,90,34114,36284
3.20.1,34200,380,90,34204,36374
3.20.2c,34380,382,90,34384,36568
3.21.0,42693,399,107,42697,38322
3.22.1.2,43524,403,108,43528,38962
3.23.0.1.3,45360,420,108,45364,40832
3.23.2.1.2,45468,421,108,45472,40940
3.24.0.1,46440,430,108,46444,42058
3.24.3.2.2,46764,433,108,46768,42382
3.25.0.1,47736,442,108,47740,43476
3.25.2.2,46852,442,106,46856,43476
3.25.3.4,47594,449,106,47598,44112
3.25.3.5,47700,450,106,47704,44212
3.25.3.12,47806,451,106,47810,44308
3.26.0.1,49290,465,106,49294,45962
3.26.0.11,49969,467,107,49973,46220
3.26.0.14,50825,475,107,50829,47184
3.26.0.16,55085,479,115,55089,47686
3.27.0.1.2,55660,484,115,55664,48138
3.27.0.6,55660,484,115,55664,48126
3.27.0.7,56005,487,115,56009,48566
