version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,6765,55,123,6769,17994
3.12.4,6765,55,123,6769,18948
3.13.0,7134,58,123,7138,19746
3.13.1,7134,58,123,7138,20020
3.14.0,7503,61,123,7507,20754
3.14.1,7503,61,123,7507,20908
3.15.0,7503,61,123,7507,21034
3.15.1,7749,63,123,7753,21476
3.15.2,7749,63,123,7753,21608
3.16.0,7938,63,126,7942,21608
3.17.0,8316,66,126,8320,22274
3.17.1b,8316,66,126,8320,22406
3.17.3,8316,66,126,8320,22538
3.17.4b,8568,68,126,8572,23222
3.18.0,8820,70,126,8824,23964
3.20.0,8946,71,126,8950,24170
3.20.1,8946,71,126,8950,24302
3.21.0,9198,73,126,9202,25054
3.22.1.2,10184,76,134,10188,26478
3.23.0.1.3,10318,77,134,10322,26790
3.23.2.2,10452,78,134,10456,27146
3.24.0.1,10854,81,134,10858,27754
3.24.3.2.2,10988,82,134,10992,28122
3.25.0.1,10988,82,134,10992,28242
3.25.2.2,11398,82,139,11402,25140
3.25.3.4,11676,84,139,11680,25776
3.26.0.11,11815,85,139,11819,26080
3.26.0.16,11954,86,139,11958,26370
3.27.0.1.2,12093,87,139,12097,26520
