version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,15024,313,48,15028,16118
3.12.0,17712,369,48,17716,19212
3.12.4,18384,383,48,18388,19992
3.13.0,20208,421,48,20212,21786
3.13.1,20256,422,48,20260,21848
3.14.0,21552,449,48,21556,23344
3.14.2,21696,452,48,21700,23564
3.15.0,22752,474,48,22756,24858
3.16.0,23616,492,48,23620,25756
3.17.0,24480,510,48,24484,26800
3.17.4b,24528,511,48,24532,26844
3.18.0,24720,515,48,24724,27010
3.19.0,24816,517,48,24820,27104
3.19.1,24912,519,48,24916,27244
3.20.0,25824,538,48,25828,28270
3.20.1,25968,541,48,25972,28430
3.20.2c,26016,542,48,26020,28480
3.21.0,26352,549,48,26356,28860
3.22.1.2,27600,575,48,27604,30206
3.23.0.1.3,28416,592,48,28420,31102
3.24.0.1,28512,594,48,28516,31210
3.24.3.2.2,28560,595,48,28564,31248
3.25.0.1,28656,597,48,28660,31346
3.25.3.4,29040,605,48,29044,31720
3.25.3.12,29088,606,48,29092,31804
3.26.0.1,30240,630,48,30244,33142
3.26.0.8,30288,631,48,30292,33200
3.27.0.1.2,30816,642,48,30820,33842
3.28.0.1.4,31344,653,48,31348,34368
3.28.0.10,31392,654,48,31396,34404
3.29.0.1,32256,672,48,32260,35276
