version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,162855,2585,63,162859,182440
3.12.0,168273,2671,63,168277,188774
3.12.4,168336,2672,63,168340,188856
3.13.0,170415,2705,63,170419,193208
3.14.0,171738,2726,63,171742,194554
3.14.3b,172494,2738,63,172498,195478
3.15.0,133824,2788,48,133828,116572
3.16.0,133872,2789,48,133876,116718
3.17.0,139248,2901,48,139252,123130
3.18.0,139584,2908,48,139588,123572
3.19.0,141312,2944,48,141316,125092
3.19.2b,141360,2945,48,141364,125110
3.20.0,143088,2981,48,143092,126464
3.21.0,146064,3043,48,146068,129048
3.22.1.2,149328,3111,48,149332,132068
3.23.0.1.3,153648,3201,48,153652,135494
3.23.1.1,153696,3202,48,153700,135536
3.24.0.1,162240,3380,48,162244,145402
3.24.0.2,162432,3384,48,162436,145634
3.25.0.1,163680,3410,48,163684,146740
3.25.1.2,163920,3415,48,163924,147018
3.25.3.12,163968,3416,48,163972,147064
3.26.0.1,193648,3458,56,193652,335550
3.26.0.8,193816,3461,56,193820,335692
3.27.0.1.2,167760,3495,48,167764,150178
3.28.0.1.4,169632,3534,48,169636,151834
3.28.0.4,169728,3536,48,169732,151954
3.28.0.8,169872,3539,48,169876,152114
