version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,5940,99,60,5944,91038
3.12.0,7680,128,60,7684,131678
3.13.0,8040,134,60,8044,139756
3.14.0,8220,137,60,8224,142436
3.15.0,8940,149,60,8944,153204
3.16.0,9120,152,60,9124,155650
3.17.0,9300,155,60,9304,157302
3.19.0,13020,155,84,13024,157302
3.19.2b,13188,157,84,13192,164454
3.20.0,13692,163,84,13696,176774
3.21.0,13692,163,84,13696,173184
3.22.1.2,15540,185,84,15544,257054
3.23.0.1.3,16212,193,84,16216,282258
3.24.0.1,16548,197,84,16552,307382
3.25.0.1,17892,213,84,17896,357024
3.26.0.1,18060,215,84,18064,370580
3.26.0.11,18228,217,84,18232,375520
3.26.0.16,18396,219,84,18400,387808
3.27.0.1.2,19068,227,84,19072,403324
3.28.0.1.4,19404,231,84,19408,411984
3.28.0.10,19572,233,84,19576,417320
3.28.0.11,19824,236,84,19828,424312
3.29.0.1,20496,244,84,20500,446120
