version,row_count,row_width,fixed_size,var_offset,var_size
3.23.0.1.3,1264,14,17696,17700,44458
3.24.0.1,1267,14,17738,17742,44542
3.25.0.1,1277,14,17878,17882,44964
3.25.2.2,1277,12,15324,15328,44964
3.25.3.4,1279,12,15348,15352,45030
3.26.0.1,1286,12,15432,15436,45272
3.26.0.11,1288,12,15456,15460,45388
3.26.0.16,1289,12,15468,15472,45426
3.27.0.1.2,1319,12,15828,15832,46714
3.27.0.6,1322,12,15864,15868,46808
3.27.0.9,1324,12,15888,15892,46908
3.28.0.1.4,1334,12,16008,16012,47256
3.28.0.11,1336,12,16032,16036,47340
