version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,10557,153,69,10561,16386
3.12.0,12213,177,69,12217,18966
3.12.4,12282,178,69,12286,19068
3.13.0,13386,194,69,13390,20688
3.14.0,14559,211,69,14563,22372
3.15.0,16008,232,69,16012,24666
3.15.1,16077,233,69,16081,24788
3.16.0,16974,246,69,16978,26198
3.17.0,19596,284,69,19600,30210
3.18.0,19872,288,69,19876,30570
3.19.0,20286,294,69,20290,30934
3.19.2b,20424,296,69,20428,31066
3.20.0,20562,298,69,20566,31214
3.21.0,20907,303,69,20911,31594
3.22.1.2,21183,307,69,21187,31878
3.23.0.1.3,22425,325,69,22429,33244
3.24.0.1,22839,331,69,22843,33680
3.25.0.1,22908,332,69,22912,33750
3.26.0.1,23184,336,69,23188,34054
3.27.0.1.2,23460,340,69,23464,34358
3.27.0.7,23736,344,69,23740,34666
