version,fixed_size,row_count,row_width,var_offset,var_size
3.17.4,348,29,12,352,1852
3.17.4b,372,31,12,376,1938
3.18.1e,384,32,12,388,1962
3.20.1,420,35,12,424,2150
3.20.2b,432,36,12,436,2192
3.20.2c,492,41,12,496,2450
3.21.0,648,54,12,652,3204
3.22.1.2,864,72,12,868,4122
3.23.0.1.3,1080,90,12,1084,5102
3.24.0.1,1188,99,12,1192,5476
3.24.3.2.2,1200,100,12,1204,5520
3.25.0.1,1308,109,12,1312,5982
3.25.3.4,1356,113,12,1360,6144
3.25.3.12,1428,119,12,1432,6540
3.26.0.1,1452,121,12,1456,6654
3.26.0.11,1500,125,12,1504,6824
3.26.0.16,1524,127,12,1528,6906
3.27.0.1.2,1608,134,12,1612,7310
3.27.0.6,1656,138,12,1660,7480
3.27.0.7,1680,140,12,1684,7638
