version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,3240,90,36,3244,3550
3.12.0,4136,94,44,4140,4114
3.12.5b,4268,97,44,4272,4114
3.13.0,5252,101,52,5256,4818
3.14.0,5460,105,52,5464,5414
3.15.0,6540,109,60,6544,11244
3.16.0,6780,113,60,6784,11920
3.16.2,7080,118,60,7084,12232
3.17.0,7500,125,60,7504,13726
3.18.0,8160,136,60,8164,15578
3.19.0,9180,153,60,9184,20082
3.19.2,9240,154,60,9244,20418
3.20.0,10260,171,60,10264,24404
3.20.2b,10320,172,60,10324,24708
3.21.0,11820,197,60,11824,30652
3.21.0c,11820,197,60,11824,30724
3.22.1.2,13080,218,60,13084,35688
3.22.2.1,13260,221,60,13264,35960
3.23.0.1.3,14520,242,60,14524,41390
3.24.0.1,15780,263,60,15784,47036
3.25.0.1,16500,275,60,16504,48600
3.25.1.2,16560,276,60,16564,48912
3.25.1.3,16620,277,60,16624,48912
3.25.3.5,16860,281,60,16864,49590
3.26.0.1,17460,291,60,17464,50944
3.26.0.8,17580,293,60,17584,51660
3.27.0.1.2,18180,303,60,18184,53036
3.27.0.4,18240,304,60,18244,53380
3.27.0.8,18360,306,60,18364,53380
3.28.0.1.4,18960,316,60,18964,54640
