version,row_count,row_width,fixed_size,var_offset,var_size
3.25.2.2,6790,148,1004920,1004924,2113200
3.25.3.4,6869,148,1016612,1016616,2144668
3.25.3.5,6882,156,1073592,1073596,2150010
3.25.3.8,7051,156,1099956,1099960,2208342
3.25.3.9,7051,156,1099956,1099960,2213182
3.25.3.10,7053,156,1100268,1100272,2213674
3.25.3.12,7082,156,1104792,1104796,2228272
3.26.0.1,7261,172,1248892,1248896,2342942
3.26.0.4.3,7261,172,1248892,1248896,2342928
3.26.0.5,7261,172,1248892,1248896,2342924
3.26.0.8,7262,172,1249064,1249068,2343346
3.26.0.11,7277,172,1251644,1251648,2350838
3.26.0.13,7380,172,1269360,1269364,2385392
3.26.0.14,7380,172,1269360,1269364,2387038
3.26.0.15,7395,172,1271940,1271944,2393088
3.26.0.16,7444,172,1280368,1280372,2409088
3.27.0.1.2,7549,172,1298428,1298432,2442900
3.27.0.6,7578,172,1303416,1303420,2455396
3.27.0.7,7711,180,1387980,1387984,2513528
3.27.0.8,7711,180,1387980,1387984,2513866
3.27.0.9,7747,180,1394460,1394464,2527838
3.28.0.1.4,7913,180,1424340,1424344,2588122
3.28.0.4,7924,180,1426320,1426324,2592482
3.28.0.6,7924,180,1426320,1426324,2592500
3.28.0.8,7925,180,1426500,1426504,2592858
3.28.0.10,7949,180,1430820,1430824,2603360
3.28.0.11,8080,180,1454400,1454404,2657670
3.28.0.12,8081,180,1454580,1454584,2658296
3.28.0.13,8087,180,1455660,1455664,2661084
3.28.0.14,8087,180,1455660,1455664,2661346
3.28.0.15,8135,180,1464300,1464304,2678494
3.29.0.1,8394,180,1510920,1510924,2744122
3.29.3.3,8411,180,1513980,1513984,2750572
