version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,45496,517,88,45500,8
3.12.0,48300,525,92,48304,8
3.13.0,55449,549,101,55453,12
3.14.0,57324,562,102,57328,42
3.15.0,58548,574,102,58552,88
3.16.0,57120,560,102,57124,88
3.17.0,62858,593,106,62862,254
3.18.0,63600,600,106,63604,274
3.20.0,64448,608,106,64452,316
3.21.0,64872,612,106,64876,316
3.22.1.2,65614,619,106,65618,340
3.23.0.1.3,67098,633,106,67102,352
3.23.1.1,67204,634,106,67208,380
3.24.0.1,67734,639,106,67738,380
3.25.0.1,68476,646,106,68480,380
3.25.1.2,68794,649,106,68798,380
3.26.0.1,69642,657,106,69646,426
3.26.0.5,70066,661,106,70070,426
