version,row_count,row_width,fixed_size,var_offset,var_size
3.25.2.2,6655,48,319440,319444,611340
3.25.3.4,6748,48,323904,323908,628008
3.25.3.5,6761,48,324528,324532,628640
3.25.3.8,6762,48,324576,324580,628764
3.25.3.12,6791,48,325968,325972,632296
3.26.0.1,6937,48,332976,332980,644034
3.26.0.5,6937,48,332976,332980,644038
3.26.0.8,6938,48,333024,333028,644140
3.26.0.11,6981,48,335088,335092,648338
3.26.0.13,6984,48,335232,335236,648830
3.26.0.14,7049,48,338352,338356,656448
3.26.0.16,7094,48,340512,340516,661032
3.27.0.1.2,7138,52,371176,371180,667772
3.27.0.6,7182,52,373464,373468,671976
3.27.0.7,7215,52,375180,375184,673308
3.27.0.8,7215,52,375180,375184,673412
3.27.0.9,7249,52,376948,376952,677142
3.28.0.1.4,7387,68,502316,502320,715848
