version,fixed_size,row_count,row_width,var_offset,var_size
3.21.0,648,6,108,652,1362
3.22.1.2,1716,13,132,1720,3988
3.23.0.1.3,3536,26,136,3540,5900
3.23.2.2,3808,28,136,3812,7032
3.24.0.1,5032,37,136,5036,8628
3.24.3.2.2,5168,38,136,5172,8684
3.25.0.1,5984,44,136,5988,9032
3.25.3.4,6120,45,136,6124,9116
3.25.3.12,6392,47,136,6396,9668
3.26.0.1,7344,54,136,7348,10780
3.26.0.11,7752,57,136,7756,12334
3.26.0.13,7752,57,136,7756,11776
3.26.0.14,8296,61,136,8300,12960
3.26.0.16,8432,62,136,8436,13036
3.27.0.1.2,8704,64,136,8708,13176
3.27.0.6,8840,65,136,8844,13264
3.27.0.9,8976,66,136,8980,13328
3.28.0.1.4,9520,70,136,9524,13654
