"rownum","ModsKey","i32","i32","i32"
0,22747,2,9,0
1,22748,10,14,0
2,22749,1,10,100
3,22757,11,15,50
4,22750,2,9,0
5,22751,1,10,50
6,22752,11,15,100
7,22663,11,15,10
8,22664,11,15,10
9,22665,11,15,10
10,22666,10,14,0
11,22667,15,30,0
12,22668,10,14,0
13,22669,15,30,0
14,22670,10,14,0
15,22671,15,30,0
16,22672,1,10,20
17,22673,11,15,20
18,22674,1,10,35
19,22675,11,15,35
20,22676,5,9,0
21,22677,1,10,50
22,22678,11,15,50
23,22679,2,9,0
24,22680,1,5,25
25,22681,6,10,25
26,22762,11,15,25
27,22682,5,9,0
28,22683,1,5,25
29,22684,6,15,25
30,22685,5,9,0
31,22686,1,10,25
32,22687,11,15,25
33,22688,2,9,0
34,22689,1,5,25
35,22690,6,10,25
36,22763,11,15,25
37,22691,5,9,0
38,22692,1,10,25
39,22693,11,15,25
40,22694,5,9,0
41,22695,1,10,25
42,22696,11,15,25
43,22697,2,9,0
44,22698,1,5,25
45,22699,6,10,25
46,22760,11,15,25
47,22700,5,9,0
48,22701,1,10,25
49,22702,11,15,25
50,22703,5,9,0
51,22704,1,10,25
52,22705,11,15,25
53,22706,2,9,0
54,22707,1,5,25
55,22708,6,10,25
56,22761,11,15,25
57,22709,1,5,25
58,22710,6,10,25
59,22711,11,15,25
60,22712,1,5,25
61,22713,6,10,25
62,22714,11,15,25
63,22715,1,9,0
64,22716,1,5,25
65,22717,6,10,25
66,22764,11,15,25
67,22718,3,5,0
68,22719,6,10,0
69,22720,11,15,0
70,22721,6,10,20
71,22722,11,15,20
72,22723,1,5,20
73,22724,6,10,20
74,22725,11,15,20
75,22726,3,5,10
76,22727,6,10,10
77,22728,11,15,10
78,22729,2,9,0
79,22730,1,10,100
80,22731,11,15,100
81,22732,6,10,25
82,22733,11,15,25
83,22734,6,10,25
84,22735,11,15,25
85,22736,6,10,25
86,22737,11,15,25
87,22738,6,10,0
88,22739,11,15,0
89,22740,3,5,10
90,22741,6,10,10
91,22759,11,15,10
92,22742,6,10,10
93,22743,11,15,10
94,22744,3,5,30
95,22745,6,10,30
96,22746,11,15,30
97,22753,2,9,0
98,22754,3,5,40
99,22755,6,10,40
100,22758,11,15,40
